OID_,Log_ID_txt,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90,PCT80,PCT70,PCT60,PCT50,PCT40,PCT30,PCT20,PCT10
1,10792428,1,4920.000000000000000,20.716639680292744,20.280000686645508,25.420000076293945,5.139999389648438,21.028863817308004,0.869213279331665,103462.009981155380956,20.600000381469727,21.920000076293945,21.370000839233398,21.170000076293945,20.844000244140627,20.600000381469727,20.569999694824219,20.540000915527344,20.500000000000000,20.459999084472656
2,2331257,2,3718.000000000000000,15.655379335635857,21.309999465942383,29.649999618530273,8.340000152587891,23.746559980801862,2.071972158598711,88289.710008621317684,23.115000724792480,26.719999313354492,25.909999847412109,25.069999694824219,24.100000381469727,23.115000724792480,22.379999160766602,22.010000228881836,21.750000000000000,21.549999237060547
3,10862876,3,10785.000000000000000,45.412390030885618,21.149999618530273,40.520000457763672,19.370000839233398,25.454774228919621,4.370485775291962,274529.740058898110874,24.059999465942383,31.575999832153325,27.469999313354492,25.870000839233398,24.799999237060547,24.059999465942383,23.420000076293945,22.889999389648438,22.100000381469727,21.709999084472656
4,10862886,4,17845.000000000000000,75.139925832281307,20.440000534057617,25.549999237060547,5.109998703002930,21.361516954438471,0.936969127855228,381196.270051954546943,20.950000762939453,22.930000305175781,21.959999084472656,21.329999923706055,21.079999923706055,20.950000762939453,20.850000381469727,20.790000915527344,20.719999313354492,20.649999618530273
5,10862878,5,15536.000000000000000,65.417421559558548,20.360000610351562,36.459999084472656,16.099998474121094,22.756096810685712,2.884967247075021,353538.720050813222770,21.309999465942383,26.860000610351562,24.829999923706055,23.209999084472656,22.069999694824219,21.309999465942383,21.000000000000000,20.780000686645508,20.680000305175781,20.610000610351562
6,10360382,6,6747.000000000000000,28.409586976206327,20.959999084472656,26.569999694824219,5.610000610351562,22.454052173563017,1.047733295387655,151497.490015029674396,22.209999084472656,23.909999847412109,23.079999923706055,22.780000686645508,22.489999771118164,22.209999084472656,21.950000762939453,21.750000000000000,21.569999694824219,21.430000305175781
7,10360378,7,10777.000000000000000,45.378704437909533,22.530000686645508,35.400001525878906,12.870000839233398,25.993582638537621,2.509938946403234,280132.840095519961324,25.309999465942383,29.680000305175781,28.200000762939453,26.940000534057617,26.040000915527344,25.309999465942383,24.700000762939453,24.290000915527344,23.799999237060547,23.350000381469727
8,10524511,8,11672.000000000000000,49.147280152109126,21.120000839233398,33.540000915527344,12.420000076293945,24.853950476630160,3.157657535427446,290095.309963227249682,23.979999542236328,29.149999618530273,28.090000152587891,27.409999847412109,26.370000839233398,23.979999542236328,22.430000305175781,21.920000076293945,21.602000427246097,21.399999618530273
9,10360379,9,7282.000000000000000,30.662311006482064,21.020000457763672,33.270000457763672,12.250000000000000,23.270052186148213,1.939975268566350,169452.520019531279104,22.709999084472656,25.818999671936041,24.750000000000000,24.090000152587891,23.370000839233398,22.709999084472656,22.180000305175781,21.799999237060547,21.569999694824219,21.389999389648438
10,10862908,10,7865.000000000000000,33.117148594614314,20.579999923706055,42.069999694824219,21.489999771118164,26.418218690759407,3.679966296943873,207779.290002822730457,26.040000915527344,31.139999389648438,29.540000915527344,28.149999618530273,27.024000549316401,26.040000915527344,25.049999237060547,24.090000152587891,23.139999389648438,21.780000686645508
11,10862923,11,5792.000000000000000,24.388369314686091,21.750000000000000,36.119998931884766,14.369998931884766,25.259799717539593,2.894580181557609,146304.759963989316020,24.360000610351562,29.849000358581549,28.010000228881836,26.389999389648438,25.260000228881836,24.360000610351562,23.629999160766602,23.219999313354492,22.659999847412109,22.191000556945802
12,2331280a,12,3210.000000000000000,13.516344181654413,22.520000457763672,40.299999237060547,17.779998779296875,27.189635491296798,3.208256596177472,87278.729927062726347,26.639999389648438,31.879999160766602,29.520000457763672,28.430000305175781,27.700000762939453,26.639999389648438,25.709999084472656,25.030000686645508,24.278000640869141,23.520000457763672
13,10862915,16,13365.000000000000000,56.275993765673277,20.110000610351562,29.129999160766602,9.019998550415039,22.097060983688486,1.482100637577279,295327.220046996604651,21.670000076293945,24.170000076293945,23.280000686645508,22.620000839233398,22.090000152587891,21.670000076293945,21.329999923706055,21.069999694824219,20.860000610351562,20.590000152587891
14,10862879,17,14958.000000000000000,62.983637467036353,19.889999389648438,31.010000228881836,11.120000839233398,22.121542313947181,1.782306589242691,330894.029932021920104,21.700000762939453,24.572999763488781,23.440000534057617,22.709999084472656,22.170000076293945,21.700000762939453,21.329999923706055,20.940000534057617,20.450000762939453,20.209999084472656
15,10862875a,18,12375.000000000000000,52.107401634882663,21.739999771118164,40.919998168945312,19.179998397827148,24.311613735931097,2.256745870716097,300856.219982147333212,23.729999542236328,27.260000228881836,25.899999618530273,24.959999084472656,24.254000091552733,23.729999542236328,23.250000000000000,22.799999237060547,22.420000076293945,22.133999252319335
16,10872720,19,6148.000000000000000,25.887378202121909,22.020000457763672,29.260000228881836,7.239999771118164,24.800325323873018,1.179196615803451,152472.400091171322856,24.680000305175781,26.500000000000000,25.639999389648438,25.209999084472656,24.959999084472656,24.680000305175781,24.329999923706055,24.030000686645508,23.809999465942383,23.559999465942383
17,10862894,20,15283.000000000000000,64.352114681689841,19.600000381469727,29.290000915527344,9.690000534057617,21.625133164209799,1.924457795838662,330496.910148618393578,20.879999160766602,24.610000610351562,23.129999160766602,22.200000762939453,21.360000610351562,20.879999160766602,20.579999923706055,20.239999771118164,20.020000457763672,19.889999389648438
