OID_,CID,temp09,temp19,temp09c
155,1,171,23.2500000,17.1000004
156,1,173,27.2600002,17.2999992
157,1,172,16.7099991,17.2000008
158,1,175,16.6000004,17.5000000
159,1,174,20.0599995,17.3999996
160,1,174,17.5699997,17.3999996
161,1,172,17.6200008,17.2000008
162,1,177,20.4400005,17.7000008
163,1,172,19.4400005,17.2000008
164,1,172,22.2600002,17.2000008
165,1,171,21.8999996,17.1000004
166,1,173,26.2600002,17.2999992
167,1,173,17.2500000,17.2999992
168,1,172,26.9200001,17.2000008
169,1,179,16.3500004,17.8999996
170,1,172,20.6800003,17.2000008
171,1,171,16.5100002,17.1000004
172,1,174,17.3400002,17.3999996
173,1,173,16.2600002,17.2999992
174,1,172,18.0100002,17.2000008
175,1,182,17.2399998,18.2000008
176,1,179,19.2999992,17.8999996
177,1,171,16.5900002,17.1000004
178,1,172,16.1900005,17.2000008
179,1,171,16.5699997,17.1000004
180,1,172,16.3400002,17.2000008
181,1,171,15.9399996,17.1000004
182,1,173,18.3199997,17.2999992
183,1,171,16.5400009,17.1000004
184,1,172,18.4500008,17.2000008
185,1,172,16.1200008,17.2000008
186,1,172,16.4599991,17.2000008
187,1,172,16.6499996,17.2000008
188,1,180,15.9300003,18.0000000
189,1,171,17.1299992,17.1000004
190,1,172,16.1599998,17.2000008
191,1,172,16.1299992,17.2000008
192,1,193,16.4200001,19.2999992
193,1,173,16.2999992,17.2999992
194,1,172,16.8299999,17.2000008
195,1,171,16.7600002,17.1000004
196,1,171,16.8600006,17.1000004
197,1,172,16.8199997,17.2000008
198,1,172,16.1200008,17.2000008
199,1,172,17.2399998,17.2000008
200,1,171,19.3700008,17.1000004
201,1,171,17.1000004,17.1000004
202,1,172,16.5400009,17.2000008
203,1,172,16.2700005,17.2000008
204,1,171,20.0699997,17.1000004
205,1,173,15.8900003,17.2999992
206,1,172,19.1000004,17.2000008
207,1,172,18.0499992,17.2000008
208,1,176,21.1800003,17.6000004
209,1,172,16.0100002,17.2000008
210,1,171,20.0900002,17.1000004
211,1,172,16.0699997,17.2000008
212,1,171,17.4899998,17.1000004
213,1,172,17.2999992,17.2000008
214,1,172,16.3400002,17.2000008
215,1,172,16.2099991,17.2000008
216,1,173,16.1399994,17.2999992
217,1,175,16.2299995,17.5000000
218,1,172,16.3799992,17.2000008
219,1,172,15.9200001,17.2000008
220,1,171,16.2800007,17.1000004
221,1,181,20.6299992,18.1000004
222,1,171,16.3199997,17.1000004
223,1,171,16.0000000,17.1000004
224,1,176,16.2800007,17.6000004
225,1,172,17.4099998,17.2000008
226,1,171,17.1900005,17.1000004
227,1,170,16.3299999,17.0000000
228,1,172,16.0400009,17.2000008
229,1,174,15.9700003,17.3999996
230,1,172,16.7199993,17.2000008
231,1,173,16.1800003,17.2999992
232,1,201,23.1000004,20.1000004
233,1,172,20.7500000,17.2000008
234,1,172,16.9500008,17.2000008
235,1,171,18.4200001,17.1000004
236,1,171,16.0200005,17.1000004
237,1,172,16.1200008,17.2000008
238,1,172,17.6200008,17.2000008
239,1,171,16.3600006,17.1000004
240,1,172,18.6200008,17.2000008
241,1,171,17.3099995,17.1000004
242,1,175,17.1700001,17.5000000
243,1,172,16.8700008,17.2000008
244,1,172,16.6499996,17.2000008
245,1,170,16.6700001,17.0000000
246,1,173,16.2099991,17.2999992
247,1,171,16.1700001,17.1000004
248,1,183,16.0599995,18.2999992
249,1,170,16.0300007,17.0000000
250,1,172,16.3500004,17.2000008
