OID_,CID,TIR2019,TIR2021,TIR2009
394,1,17.0300007,18.1399994,17.3999996
395,1,17.1900005,18.5200005,17.3999996
396,1,16.6599998,18.3400002,17.3999996
397,1,17.0499992,18.7900009,17.3999996
398,1,17.0000000,18.2999992,17.3999996
399,1,17.1100006,20.4500008,17.3999996
400,1,17.5000000,19.2199993,17.2999992
401,1,16.7700005,18.2399998,17.2999992
402,1,16.7299995,18.6599998,17.5000000
403,1,16.9500008,18.8400002,17.6000004
404,1,17.3999996,18.7700005,17.5000000
405,1,16.9200001,18.5699997,17.3999996
406,1,17.0900002,18.6700001,17.2999992
407,1,16.6800003,18.4799995,17.5000000
408,1,17.2199993,18.1100006,17.3999996
409,1,16.6900005,18.6499996,17.2000008
410,1,17.1499996,18.4500008,17.2999992
411,1,16.8999996,18.3400002,17.2999992
412,1,16.8700008,18.1700001,17.6000004
413,1,16.8600006,18.2000008,17.3999996
414,1,17.3700008,19.0900002,17.3999996
415,1,16.8500004,18.3700008,17.6000004
416,1,16.8899994,19.0000000,17.6000004
417,1,17.0599995,19.0699997,17.3999996
418,1,17.0599995,18.9300003,17.2999992
419,1,17.2900009,18.7399998,17.5000000
420,1,17.0300007,18.4799995,17.3999996
421,1,17.1800003,18.5499992,17.7000008
422,1,17.2199993,18.1399994,17.5000000
423,1,16.7099991,18.2900009,17.5000000
424,1,17.6200008,18.5100002,17.2999992
425,1,17.7700005,18.2099991,17.2999992
426,1,16.8700008,18.5200005,17.5000000
427,1,16.6200008,18.4500008,17.2999992
428,1,17.3199997,19.1700001,17.3999996
429,1,16.7099991,18.1200008,17.5000000
430,1,16.7999992,18.4300003,17.2999992
431,1,17.8600006,18.8700008,17.7999992
432,1,16.9799995,18.8099995,17.6000004
433,1,16.7399998,18.3799992,17.6000004
434,1,17.0699997,18.3700008,17.3999996
435,1,17.1700001,18.4099998,17.5000000
436,1,17.3600006,18.6299992,17.2999992
437,1,16.8500004,18.2600002,17.5000000
438,1,16.8600006,18.2900009,17.5000000
439,1,16.6299992,18.1299992,17.3999996
440,1,16.8099995,18.2700005,17.3999996
441,1,17.1599998,18.5200005,17.2999992
442,1,16.6599998,18.3600006,17.5000000
443,1,17.1000004,18.6700001,17.5000000
444,1,16.9899998,18.7399998,17.5000000
445,1,17.1599998,18.2999992,17.3999996
446,1,16.7800007,18.6499996,17.5000000
447,1,16.7299995,18.3600006,17.3999996
448,1,16.6599998,18.6100006,17.2999992
449,1,17.5000000,19.0799999,17.3999996
450,1,17.3600006,17.4699993,17.3999996
451,1,16.8999996,17.5499992,17.3999996
452,1,17.0200005,17.6200008,17.5000000
453,1,17.3600006,18.1299992,17.3999996
454,1,17.4599991,17.2299995,17.3999996
455,1,16.2900009,17.2700005,17.7000008
456,1,16.5200005,17.4200001,17.5000000
457,1,16.2500000,16.9799995,17.3999996
458,1,16.9699993,17.1800003,17.3999996
459,1,16.4500008,17.1700001,17.5000000
460,1,16.3500004,17.0400009,17.5000000
461,1,17.2199993,18.0799999,17.7000008
462,1,17.4500008,17.5599995,17.3999996
463,1,16.9300003,17.5699997,17.3999996
464,1,16.7700005,17.2399998,17.5000000
465,1,17.3099995,17.5000000,17.2999992
466,1,16.8400002,17.5699997,17.2999992
467,1,17.7600002,18.1299992,17.3999996
468,1,17.0599995,17.6499996,17.2999992
469,1,17.6800003,17.7399998,17.7000008
470,1,16.1499996,16.7999992,17.3999996
471,1,16.9599991,17.1900005,17.2999992
472,1,17.3199997,17.6200008,17.2999992
473,1,16.3400002,17.0100002,17.3999996
474,1,17.3400002,17.9500008,17.3999996
475,1,16.8899994,17.3700008,17.2999992
476,1,16.2600002,16.9500008,17.3999996
477,1,17.4400005,17.9099998,17.5000000
478,1,17.0499992,17.5100002,17.5000000
479,1,17.2800007,17.5400009,17.5000000
480,1,17.0200005,17.5900002,17.3999996
481,1,17.3999996,17.7600002,17.7000008
482,1,16.1599998,16.6800003,17.5000000
483,1,16.8600006,17.4699993,17.2999992
484,1,17.2000008,17.5400009,17.5000000
485,1,16.1599998,17.2399998,17.7000008
486,1,16.9400005,17.6499996,17.5000000
487,1,17.0400009,17.9099998,17.3999996
488,1,16.9500008,17.2299995,17.2999992
489,1,17.1100006,17.6900005,17.7000008
490,1,17.1200008,17.5300007,17.3999996
491,1,17.2900009,17.3299999,17.3999996
492,1,16.5400009,17.3999996,17.3999996
493,1,17.0400009,17.2399998,17.5000000
494,1,15.8500004,16.6499996,17.3999996
495,1,15.9300003,16.7399998,17.5000000
496,1,17.1299992,17.5400009,17.3999996
497,1,18.2900009,18.6900005,17.5000000
498,1,16.4899998,17.1499996,17.2999992
499,1,16.1800003,17.0900002,17.5000000
500,1,17.0200005,17.4699993,17.3999996
