OID_,CID,temp2019,temp2021,temp2019_1,temp2021_1
955,1,16.5200005,17.1700001,16.5200005,17.1700001
956,1,15.6000004,16.5200005,15.6000004,16.5200005
957,1,22.2000008,18.2900009,22.2000008,18.2900009
958,1,17.0400009,17.2199993,17.0400009,17.2199993
959,1,15.4499998,17.1700001,15.4499998,17.1700001
960,1,20.1700001,19.8500004,20.1700001,19.8500004
961,1,16.6499996,19.2099991,16.6499996,19.2099991
962,1,16.7900009,16.9699993,16.7900009,16.9699993
963,1,15.9700003,17.3199997,15.9700003,17.3199997
964,1,15.9399996,19.3999996,15.9399996,19.3999996
965,1,22.2700005,20.4300003,22.2700005,20.4300003
966,1,16.3700008,18.9500008,16.3700008,18.9500008
967,1,16.8199997,17.8099995,16.8199997,17.8099995
968,1,15.4300003,18.0599995,15.4300003,18.0599995
969,1,15.5699997,17.2500000,15.5699997,17.2500000
970,1,15.8400002,18.0300007,15.8400002,18.0300007
971,1,19.1700001,18.5900002,19.1700001,18.5900002
972,1,16.0000000,19.0300007,16.0000000,19.0300007
973,1,15.4399996,17.6599998,15.4399996,17.6599998
974,1,25.3700008,23.3899994,25.3700008,23.3899994
975,1,16.0200005,18.6399994,16.0200005,18.6399994
976,1,20.1000004,23.2500000,20.1000004,23.2500000
977,1,16.7700005,18.6399994,16.7700005,18.6399994
978,1,14.9899998,16.8799992,14.9899998,16.8799992
979,1,15.7100000,17.5300007,15.7100000,17.5300007
980,1,17.9699993,20.3299999,17.9699993,20.3299999
981,1,17.8500004,23.1200008,17.8500004,23.1200008
982,1,16.0699997,17.7299995,16.0699997,17.7299995
983,1,15.5500002,18.5599995,15.5500002,18.5599995
984,1,15.6899996,19.5400009,15.6899996,19.5400009
985,1,15.3699999,17.8700008,15.3699999,17.8700008
986,1,15.6199999,18.2000008,15.6199999,18.2000008
987,1,21.3299999,26.1399994,21.3299999,26.1399994
988,1,15.5400000,18.2000008,15.5400000,18.2000008
989,1,15.9300003,18.0400009,15.9300003,18.0400009
990,1,15.4899998,18.0400009,15.4899998,18.0400009
991,1,15.9399996,18.5300007,15.9399996,18.5300007
992,1,22.3199997,23.7299995,22.3199997,23.7299995
993,1,16.2700005,20.5799999,16.2700005,20.5799999
994,1,17.1900005,19.6299992,17.1900005,19.6299992
995,1,17.0100002,19.4500008,17.0100002,19.4500008
996,1,15.6800003,18.2600002,15.6800003,18.2600002
997,1,15.8999996,17.6100006,15.8999996,17.6100006
998,1,15.1400003,17.6100006,15.1400003,17.6100006
999,1,15.8400002,17.6499996,15.8400002,17.6499996
1000,1,18.6299992,20.7700005,18.6299992,20.7700005
