"","FileName","SceneTemperature","ImagerTemperatureC","GPSLatitude","GPSLongitude","GPSAltitude"
"63","IMG_0086_6.tif",36.6900000000001,39.860009765625,44.1596182,-122.2926045,492.881
"64","IMG_0087_6.tif",37.17,39.8300109863281,44.1593418,-122.292602,492.896
"65","IMG_0088_6.tif",37.11,39.8099914550781,44.1591541,-122.2926017,492.923
"66","IMG_0089_6.tif",36.91,39.8000122070313,44.158952,-122.2926028,493.033
"67","IMG_0090_6.tif",38.21,39.8000122070313,44.1587519,-122.292604,492.979
"68","IMG_0091_6.tif",37.6900000000001,39.7799926757813,44.1585222,-122.2926045,493.059
"69","IMG_0092_6.tif",38.1900000000001,39.7700134277344,44.1583049,-122.2926051,493.127
"70","IMG_0093_6.tif",37.91,39.7600036621094,44.1580737,-122.2926061,493.121
"71","IMG_0094_6.tif",38.01,39.7799926757813,44.1578863,-122.292605,493.139
"72","IMG_0095_6.tif",38.0700000000001,39.7799926757813,44.1576564,-122.2926037,493.252
"73","IMG_0096_6.tif",38.33,39.7700134277344,44.1574984,-122.2926027,493.315
"74","IMG_0097_6.tif",37.77,39.7600036621094,44.1571811,-122.2925986,493.414
"75","IMG_0098_6.tif",37.21,39.7799926757813,44.157022,-122.2925973,493.563
"76","IMG_0099_6.tif",37.17,39.7700134277344,44.1567922,-122.2925991,493.401
"77","IMG_0100_6.tif",33.83,39.7700134277344,44.156605,-122.2926007,492.962
"78","IMG_0101_6.tif",35.41,39.7600036621094,44.1563476,-122.2925972,493.228
"79","IMG_0102_6.tif",38.01,39.7700134277344,44.1561608,-122.292598,493.402
"80","IMG_0103_6.tif",37.81,39.7700134277344,44.1560299,-122.2925991,493.234
"81","IMG_0104_6.tif",38.39,39.7700134277344,44.156033,-122.2925868,493.189
"82","IMG_0105_6.tif",36.65,39.7700134277344,44.15603,-122.2923437,493.404
"83","IMG_0106_6.tif",36.39,39.7700134277344,44.1560311,-122.2920838,493.619
"84","IMG_0107_6.tif",38.65,39.7499938964844,44.1560304,-122.2917682,494.018
"85","IMG_0108_6.tif",36.77,39.7400146484375,44.1560347,-122.2917665,493.849
"86","IMG_0109_6.tif",36.7500000000001,39.7099853515625,44.1561108,-122.2917606,493.813
"87","IMG_0110_6.tif",34.1300000000001,39.6700073242188,44.1562936,-122.291761,494.108
"88","IMG_0111_6.tif",36.93,39.6599975585938,44.1565362,-122.2917597,494.169
"89","IMG_0112_6.tif",37.49,39.610009765625,44.1567376,-122.2917584,494.23
"90","IMG_0113_6.tif",37.65,39.5800109863281,44.1569553,-122.2917594,494.344
"91","IMG_0114_6.tif",38.45,39.5299926757813,44.1571866,-122.2917576,494.365
"92","IMG_0115_6.tif",38.51,39.4900146484375,44.1573308,-122.2917572,494.153
"93","IMG_0116_6.tif",37.6300000000001,39.4699951171875,44.1576044,-122.2917578,493.972
"94","IMG_0117_6.tif",37.83,39.4200073242188,44.1578495,-122.2917567,493.969
"95","IMG_0118_6.tif",37.77,39.3900085449219,44.1580799,-122.2917558,493.886
"96","IMG_0119_6.tif",37.6900000000001,39.339990234375,44.1582385,-122.2917567,493.915
"97","IMG_0120_6.tif",37.27,39.3099914550781,44.158571,-122.2917544,493.745
"98","IMG_0121_6.tif",38.35,39.3900085449219,44.1587166,-122.2917553,493.723
"99","IMG_0122_6.tif",38.55,39.360009765625,44.1589167,-122.2917554,493.435
"100","IMG_0123_6.tif",35.93,39.339990234375,44.1591346,-122.2917582,493.335
"101","IMG_0124_6.tif",36.31,39.35,44.1593501,-122.2917529,493.032
"102","IMG_0125_6.tif",32.03,39.3300109863281,44.1595667,-122.2917533,493.111
"103","IMG_0126_6.tif",33.27,39.3099914550781,44.159783,-122.2917552,492.859
