OID_,dist_m,POINT_X,POINT_Y,tir_cs,dist_up,tir_cor_adj_filt,year,restored,fire,temp_at_release,discharge,canopy_cov,air_temp_C
50,108,557363.570600000210106,4889661.313799999654293,-0.2402737,988,16.1499996,2009,0,0,15.1,511,0.717,26.7
51,110,557361.834099999628961,4889660.321499999612570,-0.1691703,986,16.25,2009,0,0,15.1,511,0.717,26.7
52,112,557359.956000000238419,4889659.707499999552965,-0.1776235,984,16.25,2009,0,0,15.1,511,0.717,26.7
53,114,557357.994800000451505,4889659.315300000831485,-0.1635162,982,16.3499985,2009,0,0,15.1,511,0.717,26.7
54,116,557356.095499999821186,4889658.720499999821186,-0.2054339,980,16.25,2009,0,0,15.1,511,0.717,26.7
55,118,557354.249300000257790,4889657.951300000771880,-0.0951088,978,16.4499989,2009,0,0,15.1,511,0.717,26.7
56,120,557352.403199999593198,4889657.182000000029802,-0.0540208,976,16.4499989,2009,0,0,15.1,511,0.717,26.7
57,122,557350.427000000141561,4889656.967700000852346,-0.1409886,974,16.3499985,2009,0,0,15.1,511,0.717,26.7
58,126,557346.435600000433624,4889656.706100000068545,-0.167119,970,16.25,2009,0,0,15.1,511,0.717,26.7
59,128,557344.439899999648333,4889656.575300000607967,-0.080691,968,16.4499989,2009,0,0,15.1,511,0.717,26.7
60,130,557342.721199999563396,4889655.701400000602007,-0.1029672,966,16.3499985,2009,0,0,15.1,511,0.717,26.7
61,134,557339.532800000160933,4889653.286000000312924,-0.2021077,962,16.25,2009,0,0,15.1,511,0.717,26.7
62,136,557337.938599999994040,4889652.078299999237061,-0.2021077,960,16.25,2009,0,0,15.1,511,0.717,26.7
63,138,557336.344499999657273,4889650.870600000023842,-0.2020612,958,16.25,2009,0,0,15.1,511,0.717,26.7
64,140,557334.602400000207126,4889650.102900000289083,-0.2021077,956,16.25,2009,0,0,15.1,511,0.717,26.7
65,142,557332.602400000207126,4889650.102900000289083,-0.2616349,954,16.1499996,2009,0,0,15.1,511,0.717,26.7
66,144,557330.602400000207126,4889650.102900000289083,-0.2275975,952,16.25,2009,0,0,15.1,511,0.717,26.7
67,146,557328.626199999824166,4889649.897500000894070,-0.2532269,950,16.1499996,2009,0,0,15.1,511,0.717,26.7
68,148,557326.678999999538064,4889649.440700000151992,-0.202124,948,16.25,2009,0,0,15.1,511,0.717,26.7
69,1018,556647.114599999971688,4889887.820399999618530,0.0380671,78,16.5499992,2009,0,0,15.1,511,0.717,26.7
70,1028,556637.953800000250340,4889883.810399999842048,0.1108939,68,16.6499996,2009,0,0,15.1,511,0.717,26.7
71,1074,556595.814199999906123,4889865.364399999380112,0.1625669,22,16.75,2009,0,0,15.1,511,0.717,26.7
72,1076,556593.982099999673665,4889864.562400000169873,0.1189677,20,16.6499996,2009,0,0,15.1,511,0.717,26.7
73,1078,556592.149899999611080,4889863.760399999096990,0.0891508,18,16.6499996,2009,0,0,15.1,511,0.717,26.7
74,1080,556590.247000000439584,4889863.152499999850988,0.1020775,16,16.6499996,2009,0,0,15.1,511,0.717,26.7
75,1082,556588.328700000420213,4889862.586500000208616,0.024165,14,16.5499992,2009,0,0,15.1,511,0.717,26.7
76,1084,556586.410400000400841,4889862.020600000396371,0.0106573,12,16.5499992,2009,0,0,15.1,511,0.717,26.7
77,1086,556584.492200000211596,4889861.454700000584126,0.0983077,10,16.6499996,2009,0,0,15.1,511,0.717,26.7
78,1088,556582.573900000192225,4889860.888800000771880,0.0314155,8,16.5499992,2009,0,0,15.1,511,0.717,26.7
79,1090,556580.655700000002980,4889860.322799999266863,0.0314155,6,16.5499992,2009,0,0,15.1,511,0.717,26.7
80,1092,556578.737399999983609,4889859.756899999454618,-0.0093909,4,16.4499989,2009,0,0,15.1,511,0.717,26.7
81,1094,556576.819099999964237,4889859.190999999642372,0.0314155,2,16.5499992,2009,0,0,15.1,511,0.717,26.7
82,1096,556574.900899999774992,4889858.625099999830127,0.0369507,0,16.5499992,2009,0,0,15.1,511,0.717,26.7
83,438,557192.223899999633431,4889844.031899999827147,-0.0464261,658,16.4499989,2009,0,0,15.1,511,0.717,26.7
84,440,557190.528099999763072,4889845.052400000393391,0.02791,656,16.5499992,2009,0,0,15.1,511,0.717,26.7
85,442,557189.035400000400841,4889846.383500000461936,-0.0567193,654,16.4499989,2009,0,0,15.1,511,0.717,26.7
86,356,557230.950299999676645,4889775.402200000360608,0.2213465,740,16.6499996,2009,0,0,15.1,511,0.717,26.7
87,358,557230.422600000165403,4889777.331199999898672,0.0558544,738,16.5499992,2009,0,0,15.1,511,0.717,26.7
88,360,557229.855000000447035,4889779.248999999836087,-0.0311305,736,16.6499996,2009,0,0,15.1,511,0.717,26.7
89,844,556810.110399999655783,4889935.502000000327826,0.0879741,252,16.6499996,2009,0,0,15.1,511,0.717,26.7
