OID_,CID,temp09,temp19
1,1,17.2000008,17.8702106
2,1,17.2999992,18.7648201
3,1,17.3999996,18.4235764
4,1,17.1000004,18.6080322
5,1,17.3999996,19.1798420
6,1,17.3999996,18.5434742
7,1,17.5000000,19.5395298
8,1,17.7000008,18.2391224
9,1,17.5000000,17.3906288
10,1,17.3999996,17.9716625
11,1,17.2000008,20.0560036
12,1,17.1000004,19.0415001
13,1,18.0000000,17.9071026
14,1,17.5000000,18.3405724
15,1,17.5000000,17.3998528
16,1,17.2000008,18.3221264
17,1,18.7000008,18.1376724
18,1,17.6000004,18.5434742
19,1,17.7000008,17.6857567
20,1,17.3999996,18.1284485
21,1,17.6000004,18.7463741
22,1,17.3999996,17.3629608
23,1,17.5000000,20.1574535
24,1,17.5000000,19.2997379
25,1,17.5000000,18.3221264
26,1,17.3999996,18.8478241
27,1,17.5000000,18.6541462
28,1,17.6000004,19.1152821
29,1,17.2999992,18.9861641
30,1,17.5000000,18.6818142
31,1,17.5000000,18.3129044
32,1,17.2999992,17.8794346
33,1,17.3999996,17.8148746
34,1,17.3999996,17.8794346
35,1,17.5000000,18.7094822
36,1,17.6000004,18.9861641
37,1,17.6000004,18.8386021
38,1,17.2000008,18.2852364
39,1,17.5000000,19.0968361
40,1,17.1000004,19.0322781
41,1,17.3999996,18.6818142
42,1,17.7000008,18.8847141
43,1,17.3999996,19.5210838
44,1,17.6000004,18.5434742
45,1,17.2000008,19.2905159
46,1,17.2000008,18.4881363
47,1,17.5000000,18.4696922
48,1,17.1000004,18.3590183
49,1,17.5000000,18.8293781
50,1,17.6000004,18.6541462
51,1,17.1000004,19.2444000
52,1,17.5000000,18.9031601
53,1,17.7999992,19.0783920
54,1,17.6000004,18.6725922
55,1,17.2000008,20.2312355
56,1,17.1000004,17.7410927
57,1,17.2000008,18.0638905
58,1,17.1000004,18.2206764
59,1,17.6000004,20.3142414
60,1,17.1000004,18.7094822
61,1,17.5000000,19.0783920
62,1,17.3999996,18.3682404
63,1,17.1000004,18.3313484
64,1,17.2000008,19.1613979
65,1,17.3999996,17.9439926
66,1,17.3999996,18.3959084
67,1,17.3999996,18.5158043
68,1,17.2000008,18.4328003
69,1,17.5000000,18.3682404
70,1,17.2000008,17.9163265
71,1,17.5000000,18.9308281
72,1,17.2000008,18.1930084
73,1,17.5000000,19.0783920
74,1,17.2999992,18.4789124
75,1,17.5000000,18.4696922
76,1,17.2000008,18.3590183
77,1,17.3999996,19.1798420
78,1,17.7999992,18.5434742
79,1,17.2000008,17.5474167
80,1,17.2000008,18.7187042
81,1,17.2999992,18.4051304
82,1,17.2000008,17.8609886
83,1,17.6000004,18.7832642
84,1,17.5000000,19.2351799
85,1,17.1000004,18.1561184
86,1,17.5000000,20.2035675
87,1,17.3999996,19.2075100
88,1,17.1000004,18.5434742
89,1,17.0000000,18.1376724
90,1,17.8999996,18.8109322
91,1,17.3999996,19.2167339
92,1,17.2000008,18.3497944
93,1,17.5000000,18.0915565
94,1,17.5000000,18.7002602
95,1,17.2000008,18.1745625
96,1,17.6000004,18.8478241
97,1,17.8999996,19.6317558
98,1,17.2999992,18.5434742
99,1,17.5000000,18.5065823
100,1,17.3999996,18.4143543
