OID_,ORIG_FID,DIST_M,COUNT09,AREA09,MIN09,MAX09,RANGE09,MEAN09,STD09,SUM09,MEDIAN09,PCT90_09,COUNT19,AREA19,MIN19,MAX19,RANGE19,MEAN19,STD19,SUM19,MEDIAN19,PCT90_19,COUNT21,AREA21,MIN21,MAX21,RANGE21,MEAN21,STD21,SUM21,MEDIAN21,PCT90_21
15,16,32,9,3.24,-0.645408392,-0.354484856,0.290923536,-0.54843388,0.118769036,-4.93590492,-0.645408392,-0.354484856,832,3.112195002,-0.621553957,-0.039709583,0.581844375,-0.308007455,0.137549463,-256.2622029,-0.308810681,-0.112439089,604,3.114458874,-1.192819834,-0.800073862,0.392745972,-0.923404339,0.070720075,-557.7362208,-0.901899099,-0.843713224
16,17,34,11,3.96,-0.645408392,-0.20902583,0.436382562,-0.433827888,0.113754911,-4.772106767,-0.499946624,-0.354484856,836,3.127157478,-0.883384585,-0.054253262,0.829131324,-0.458309662,0.169141357,-383.1468772,-0.446999252,-0.24335441,606,3.124771652,-0.960082114,-0.727344394,0.23273772,-0.854179147,0.041600031,-517.6325629,-0.858259678,-0.800073862
17,18,36,8,2.88,-0.499946624,-0.354484856,0.145461768,-0.42721574,0.072730884,-3.417725921,-0.42721574,-0.354484856,841,3.145860573,-0.767015696,-0.417906314,0.349109381,-0.609429091,0.058548025,-512.5298658,-0.621553957,-0.519731522,605,3.119615263,-1.032814384,-0.450967282,0.581847101,-0.843425198,0.137475908,-510.272245,-0.872806132,-0.625521958
18,19,38,9,3.24,-0.645408392,-0.499946624,0.145461768,-0.532271461,0.060474233,-4.790443152,-0.499946624,-0.499946624,831,3.108454383,-0.752469242,-0.563368082,0.18910116,-0.667712072,0.032424074,-554.8687322,-0.679736972,-0.621553957,604,3.114458874,-0.960082114,-0.727344394,0.23273772,-0.852961255,0.040290665,-515.188598,-0.843713224,-0.814620316
19,20,40,9,3.24,-0.645408392,-0.354484856,0.290923536,-0.499946624,0.096974512,-4.499519616,-0.499946624,-0.354484856,833,3.115935621,-0.694283426,-0.199715048,0.494568378,-0.599062062,0.074147739,-499.018698,-0.621553957,-0.519731522,609,3.140240818,-0.974628568,-0.625521958,0.34910661,-0.779939928,0.079270445,-474.9834162,-0.756437302,-0.683705032
20,21,42,9,3.24,-0.645408392,-0.354484856,0.290923536,-0.499946624,0.068571335,-4.499519616,-0.499946624,-0.47085427,841,3.145860573,-0.737922788,-0.446999252,0.290923536,-0.574646035,0.06326888,-483.2773153,-0.563368082,-0.505185068,604,3.114458874,-0.814620316,-0.305508256,0.50911206,-0.550575463,0.127828194,-332.5475794,-0.567336142,-0.378237754
21,22,44,8,2.88,-0.645408392,-0.354484856,0.290923536,-0.536312066,0.096213916,-4.290496528,-0.499946624,-0.456308094,836,3.127157478,-0.548821628,-0.083346173,0.465475455,-0.369675807,0.105620523,-309.0489749,-0.388816178,-0.199715048,608,3.135084429,-0.640068412,-0.305508256,0.334560156,-0.443623372,0.090121335,-269.7230099,-0.421877146,-0.334598392
22,23,46,7,2.52,-0.499946624,-0.354484856,0.145461768,-0.479166371,0.050901015,-3.3541646,-0.499946624,-0.441761917,726,2.715689388,-0.388816178,0.236667529,0.625483707,-0.100617856,0.152033393,-73.04856379,-0.112439089,0.120298654,528,2.72257332,-1.192819834,-0.538245976,0.654573858,-0.820213869,0.150661835,-433.0729228,-0.814620316,-0.625521958
23,28,56,4,1.44,-0.645408392,-0.499946624,0.145461768,-0.536312066,0.062986793,-2.145248264,-0.499946624,-0.499946624,370,1.384029027,0.367582858,2.476771832,2.109188974,1.238384715,0.477864047,458.2023447,1.211257815,1.894924641,264,1.36128666,-0.872806132,1.105467439,1.978273571,-0.343800839,0.423596497,-90.76342152,-0.465513736,0.305429012
24,29,58,6,2.16,-0.499946624,-0.354484856,0.145461768,-0.475702996,0.0542104,-2.854217976,-0.499946624,-0.42721574,553,2.068562303,-0.70882988,0.45485881,1.163688689,-0.321293005,0.291053366,-177.6750316,-0.388816178,0.120298654,400,2.062555546,-1.003721476,-0.509153068,0.494568408,-0.732435622,0.094227538,-292.9742489,-0.71279794,-0.625521958
25,30,60,4,1.44,-0.499946624,-0.499946624,0,-0.499946624,0,-1.999786496,-0.499946624,-0.499946624,397,1.48502574,-0.883384585,-0.505185068,0.378199518,-0.681240215,0.07329188,-270.4523654,-0.694283426,-0.577914596,293,1.510821937,-0.989175022,-0.800073862,0.18910116,-0.878316317,0.050353358,-257.3466809,-0.872806132,-0.814620316
26,34,68,1,0.36,-0.499946624,-0.499946624,0,-0.499946624,0,-0.499946624,-0.499946624,-0.499946624,19,0.071071761,-0.388816178,-0.156078458,0.23273772,-0.278571119,0.065617289,-5.292851269,-0.286993772,-0.193897021,12,0.061876666,-0.640068412,-0.567336142,0.07273227,-0.604914481,0.023348708,-7.258973777,-0.603702277,-0.581882596
27,35,70,5,1.8,-0.645408392,-0.499946624,0.145461768,-0.587223685,0.071261422,-2.936118424,-0.645408392,-0.499946624,424,1.586022453,-0.548821628,0.425768673,0.974590302,-0.089178989,0.220113549,-37.81189141,-0.097892627,0.236667529,309,1.593324159,-0.960082114,-0.509153068,0.450929046,-0.763780482,0.115468803,-236.0081688,-0.770983756,-0.59642905
28,38,76,4,1.44,-0.645408392,-0.354484856,0.290923536,-0.536312066,0.120610526,-2.145248264,-0.572677508,-0.398123387,4,0.014962476,-0.679736972,-0.621553957,0.058183014,-0.654282078,0.021513312,-2.617128313,-0.657918692,-0.63028183,1,0.005156389,-0.800073862,-0.800073862,0,-0.800073862,0,-0.800073862,-0.800073862,-0.800073862
29,39,78,10,3.6,-0.645408392,-0.354484856,0.290923536,-0.499946624,0.112674201,-4.99946624,-0.499946624,-0.354484856,494,1.847865782,-1.101575851,-0.650646865,0.450928986,-0.815923831,0.098808696,-403.0663727,-0.781559408,-0.70882988,362,1.866612769,-1.192819834,-0.683705032,0.509114802,-0.826274297,0.118414606,-299.1112955,-0.78553021,-0.71279794
30,40,80,9,3.24,-0.645408392,-0.354484856,0.290923536,-0.467621787,0.091428447,-4.208596081,-0.499946624,-0.354484856,811,3.033642003,-1.101575851,-0.752469242,0.34910661,-0.907848477,0.069971554,-736.2651151,-0.897931039,-0.82519877,595,3.068051374,-1.454650521,-0.901899099,0.552751422,-1.210789277,0.123417977,-720.4196196,-1.221912742,-1.032814384
31,41,82,9,3.24,-0.499946624,-0.499946624,0,-0.499946624,0,-4.499519616,-0.499946624,-0.499946624,835,3.123416859,-0.82519877,-0.577914596,0.247284174,-0.677438463,0.05199072,-565.6611163,-0.665190518,-0.621553957,609,3.140240818,-1.294642329,-1.06190455,0.23273778,-1.164779214,0.053078357,-709.3505414,-1.163726926,-1.090997458
32,42,84,8,2.88,-0.645408392,-0.499946624,0.145461768,-0.518129345,0.048106958,-4.14503476,-0.499946624,-0.499946624,835,3.123416859,-0.883384585,-0.330630362,0.552754223,-0.632667618,0.096625218,-528.277461,-0.621553957,-0.519731522,602,3.104146096,-1.309188724,-0.901899099,0.407289624,-1.151840103,0.094082941,-693.4077423,-1.178273439,-1.005176127
33,44,88,4,1.44,-0.499946624,-0.354484856,0.145461768,-0.42721574,0.072730884,-1.70886296,-0.42721574,-0.354484856,833,3.115935621,-0.854291677,-0.083346173,0.770945504,-0.571995202,0.187492926,-476.4720033,-0.650646865,-0.272447318,606,3.124771652,-1.4110111,-0.145500034,1.265511066,-0.930918324,0.252743901,-564.1365044,-0.960082114,-0.610975504
34,45,90,8,2.88,-0.645408392,-0.354484856,0.290923536,-0.463581182,0.096213916,-3.708649457,-0.499946624,-0.354484856,510,1.907715686,-1.247036219,-0.330630362,0.916405857,-0.827281157,0.256655049,-421.9133899,-0.84701845,-0.446999252,374,1.928489435,-1.454650521,-0.276415348,1.178235173,-1.039658382,0.209891118,-388.8322349,-1.032814384,-0.800073862
35,46,92,8,2.88,-0.499946624,-0.354484856,0.145461768,-0.42721574,0.072730884,-3.417725921,-0.42721574,-0.354484856,837,3.130898097,-1.40704453,-1.101575851,0.305468678,-1.309357342,0.056011345,-1095.932095,-1.319767118,-1.232491136,602,3.104146096,-1.178273439,-0.814620316,0.363653123,-1.00722464,0.076820092,-606.3492331,-1.003721476,-0.901899099
36,47,94,9,3.24,-0.499946624,-0.20902583,0.290920794,-0.354485161,0.068570689,-3.190366447,-0.354484856,-0.325393051,834,3.11967624,-1.319767118,-0.781559408,0.53820771,-1.098645228,0.110433771,-916.2701201,-1.101575851,-0.956114113,607,3.12992804,-1.425557613,-0.960082114,0.4654755,-1.178969482,0.109834512,-715.6344754,-1.178273439,-1.018267989
37,48,96,12,4.32,-0.499946624,-0.20902583,0.290920794,-0.378728713,0.080406535,-4.544744551,-0.354484856,-0.354484856,837,3.130898097,-1.436136007,-0.839745224,0.596390784,-1.138071066,0.133602618,-952.5654826,-1.116122365,-0.970660567,604,3.114458874,-1.396467447,-1.163726926,0.232740521,-1.289393521,0.063043287,-778.7936869,-1.280098557,-1.207366347
38,49,98,7,2.52,-0.499946624,-0.354484856,0.145461768,-0.375265109,0.050901015,-2.626855761,-0.354484856,-0.354484856,836,3.127157478,-1.276129127,-0.956114113,0.320015013,-1.090456998,0.066598877,-911.6220506,-1.087029457,-0.999753475,608,3.135084429,-1.294642329,-1.047358036,0.247284293,-1.187533378,0.063648223,-722.0202936,-1.178273439,-1.105543852
