OID_,CID,TIR2009,TIR2009_mask_1,TIR08262019Masknew_1
244,1,17.1000004,171,16.3799992
245,1,17.0000000,170,19.1000004
246,1,17.0000000,170,16.1900005
247,1,17.1000004,171,16.4300003
248,1,17.1000004,171,16.2000008
249,1,17.1000004,171,16.4099998
250,1,17.2000008,172,15.9399996
251,1,17.2999992,173,16.3400002
252,1,17.5000000,175,17.3199997
253,1,17.2000008,172,16.0100002
254,1,17.2000008,172,16.1700001
255,1,17.1000004,171,16.2099991
256,1,17.2000008,172,16.5200005
257,1,17.2000008,172,16.2900009
258,1,17.2999992,173,15.7500000
259,1,17.2000008,172,16.1399994
260,1,17.1000004,171,16.6700001
261,1,17.3999996,174,15.9899998
262,1,17.1000004,171,16.1299992
263,1,17.1000004,171,15.9200001
264,1,20.2999992,203,16.1100006
265,1,17.2000008,172,16.1499996
266,1,17.2000008,172,16.3500004
267,1,17.2000008,172,19.0599995
268,1,17.2000008,172,15.9899998
269,1,17.2999992,173,16.2999992
270,1,17.1000004,171,17.1299992
271,1,17.1000004,171,16.4099998
272,1,17.1000004,171,16.6399994
273,1,17.2000008,172,16.0499992
274,1,17.1000004,171,16.1499996
275,1,17.2000008,172,17.3999996
276,1,17.1000004,171,16.1800003
277,1,17.1000004,171,16.2999992
278,1,17.5000000,175,16.3799992
279,1,17.2000008,172,16.4099998
280,1,17.1000004,171,17.9899998
281,1,17.2000008,172,16.3999996
282,1,17.2000008,172,18.1399994
283,1,17.2000008,172,16.7900009
284,1,17.2000008,172,16.0200005
285,1,17.1000004,171,16.1700001
286,1,17.3999996,174,16.2999992
287,1,17.2000008,172,16.0499992
288,1,17.1000004,171,16.2199993
289,1,17.7000008,177,18.0200005
290,1,17.2999992,173,19.4899998
291,1,17.6000004,176,16.2999992
292,1,17.2000008,172,15.9099998
293,1,17.1000004,171,17.4400005
294,1,17.2000008,172,17.5300007
295,1,17.1000004,171,18.2299995
296,1,17.1000004,171,16.9500008
297,1,17.5000000,175,16.0699997
298,1,17.3999996,174,16.2999992
299,1,17.2999992,173,16.2800007
300,1,17.2000008,172,16.3099995
301,1,17.2000008,172,16.0400009
302,1,17.2000008,172,16.4500008
303,1,17.1000004,171,18.7900009
304,1,17.2000008,172,16.0300007
305,1,17.2000008,172,16.1900005
306,1,17.7000008,177,16.1900005
307,1,18.1000004,181,16.2199993
308,1,17.2999992,173,16.1399994
309,1,17.1000004,171,19.0499992
310,1,17.1000004,171,16.0000000
311,1,17.1000004,171,16.9400005
312,1,18.6000004,186,16.2600002
313,1,17.2000008,172,16.1200008
314,1,17.0000000,170,16.0300007
315,1,17.1000004,171,16.5100002
316,1,19.5000000,195,16.0799999
317,1,17.2000008,172,15.9600000
318,1,17.2000008,172,16.5400009
319,1,17.1000004,171,15.8900003
320,1,17.1000004,171,16.2700005
321,1,17.2000008,172,17.2500000
322,1,17.3999996,174,16.1599998
323,1,17.2000008,172,16.7399998
324,1,17.5000000,175,16.7399998
325,1,17.5000000,175,16.4799995
326,1,17.5000000,175,16.2800007
327,1,17.6000004,176,15.9200001
328,1,17.3999996,174,17.4200001
329,1,17.6000004,176,15.8599997
330,1,17.5000000,175,16.2099991
331,1,17.5000000,175,16.6299992
332,1,17.5000000,175,16.2700005
333,1,17.6000004,176,16.2000008
334,1,17.5000000,175,16.7099991
335,1,17.5000000,175,16.6299992
336,1,17.6000004,176,16.0400009
337,1,17.5000000,175,17.3799992
338,1,17.6000004,176,16.0699997
339,1,17.7000008,177,16.0000000
340,1,17.7000008,177,16.7800007
341,1,22.7999992,228,15.8599997
342,1,17.7000008,177,16.2999992
343,1,17.6000004,176,16.2399998
344,1,18.7000008,187,16.1599998
345,1,17.6000004,176,16.3299999
346,1,19.2999992,193,16.5599995
347,1,17.5000000,175,17.5100002
348,1,17.7000008,177,16.3999996
349,1,17.5000000,175,17.1700001
350,1,17.3999996,174,16.2199993
351,1,17.5000000,175,16.2900009
352,1,17.5000000,175,16.4200001
353,1,17.5000000,175,16.6900005
354,1,17.8999996,179,16.4200001
355,1,17.5000000,175,16.8700008
356,1,17.6000004,176,17.1900005
357,1,20.0000000,200,15.8900003
358,1,18.2000008,182,16.1299992
359,1,17.5000000,175,16.8899994
360,1,17.7999992,178,16.2600002
361,1,17.5000000,175,17.1900005
362,1,17.7000008,177,16.0200005
363,1,17.7000008,177,15.8100004
364,1,17.7000008,177,16.9400005
365,1,17.6000004,176,17.6200008
366,1,17.3999996,174,16.3600006
367,1,17.2000008,172,15.8400002
368,1,17.3999996,174,16.9200001
369,1,17.5000000,175,16.0400009
370,1,17.5000000,175,15.4899998
371,1,17.8999996,179,15.8199997
372,1,18.2999992,183,15.4200001
373,1,17.3999996,174,16.9300003
374,1,17.5000000,175,15.4300003
375,1,19.3999996,194,16.1800003
376,1,17.5000000,175,15.6899996
377,1,17.5000000,175,15.7900000
378,1,17.3999996,174,15.5299997
379,1,17.2999992,173,17.3199997
380,1,17.6000004,176,16.4300003
381,1,17.2999992,173,16.7600002
382,1,17.6000004,176,15.5299997
383,1,17.3999996,174,16.2299995
384,1,17.3999996,174,16.0300007
385,1,17.3999996,174,15.5200005
386,1,17.6000004,176,15.9600000
387,1,17.8999996,179,15.3599997
388,1,18.0000000,180,17.2399998
389,1,17.3999996,174,15.8900003
390,1,17.3999996,174,15.5000000
391,1,17.3999996,174,15.9799995
392,1,17.6000004,176,15.9099998
393,1,17.2999992,173,16.2900009
394,1,18.8999996,189,16.9599991
395,1,18.1000004,181,16.1000004
396,1,17.5000000,175,15.6099997
397,1,17.2999992,173,16.5100002
398,1,18.0000000,180,15.9499998
399,1,17.2999992,173,15.8999996
400,1,18.5000000,185,17.0799999
401,1,21.5000000,215,17.3199997
402,1,17.2000008,172,16.7600002
403,1,18.2000008,182,16.5499992
404,1,19.7999992,198,16.3799992
405,1,17.6000004,176,16.7399998
406,1,17.2999992,173,17.3299999
407,1,17.2999992,173,16.6700001
408,1,17.2000008,172,16.9699993
409,1,17.7000008,177,17.1900005
410,1,17.3999996,174,17.8199997
411,1,17.3999996,174,17.2199993
412,1,17.2000008,172,16.6000004
413,1,17.2999992,173,16.7000008
414,1,17.1000004,171,17.2099991
415,1,17.2999992,173,17.2999992
416,1,18.6000004,186,17.8899994
417,1,17.3999996,174,18.5100002
418,1,17.5000000,175,18.0799999
419,1,18.0000000,180,18.1900005
420,1,17.7000008,177,17.7199993
421,1,18.5000000,185,16.5100002
422,1,21.2000008,212,18.0400009
423,1,18.5000000,185,17.6000004
424,1,17.3999996,174,16.6499996
425,1,18.7999992,188,17.8299999
426,1,17.2999992,173,16.8899994
427,1,17.2999992,173,18.1900005
428,1,17.5000000,175,17.2299995
429,1,17.5000000,175,16.6399994
430,1,17.3999996,174,16.6900005
431,1,17.7999992,178,16.5200005
432,1,17.2000008,172,17.5499992
433,1,17.1000004,171,16.9699993
434,1,18.7000008,187,16.6599998
435,1,17.5000000,175,16.5400009
436,1,18.2000008,182,16.6399994
437,1,18.8999996,189,16.2399998
438,1,17.7000008,177,17.7900009
439,1,17.3999996,174,19.5000000
440,1,17.7000008,177,16.3299999
441,1,17.2999992,173,18.2900009
442,1,18.2999992,183,16.4899998
443,1,17.2000008,172,18.4400005
444,1,17.7000008,177,17.7500000
445,1,17.7000008,177,17.9799995
446,1,17.6000004,176,17.2999992
447,1,17.6000004,176,16.4500008
448,1,17.7000008,177,15.9399996
449,1,17.6000004,176,16.2600002
450,1,17.7000008,177,17.0599995
451,1,18.2999992,183,17.0499992
452,1,17.7999992,178,16.0200005
453,1,18.2000008,182,17.8400002
454,1,17.7999992,178,15.8400002
455,1,18.2000008,182,18.1800003
456,1,18.1000004,181,19.1299992
457,1,17.8999996,179,15.9600000
458,1,17.6000004,176,17.0300007
459,1,17.6000004,176,16.2000008
460,1,17.7999992,178,16.0100002
461,1,18.3999996,184,17.3600006
462,1,17.7999992,178,17.2299995
463,1,17.8999996,179,16.0000000
464,1,17.6000004,176,18.3999996
465,1,17.7000008,177,16.2999992
466,1,17.7999992,178,16.2800007
467,1,18.7999992,188,16.0699997
468,1,17.8999996,179,15.8100004
469,1,18.0000000,180,17.9400005
470,1,17.7000008,177,16.4400005
471,1,18.0000000,180,17.9599991
472,1,18.1000004,181,17.0000000
473,1,17.7999992,178,15.8599997
474,1,17.8999996,179,15.8500004
475,1,18.0000000,180,19.0900002
476,1,17.7999992,178,22.6800003
477,1,17.7000008,177,18.1700001
478,1,18.7000008,187,18.3799992
479,1,18.1000004,181,16.0799999
480,1,17.7999992,178,15.8999996
481,1,17.8999996,179,19.4500008
482,1,17.6000004,176,16.6499996
483,1,17.6000004,176,16.8500004
484,1,17.7000008,177,18.3799992
485,1,18.2000008,182,17.3500004
486,1,17.7999992,178,17.5900002
487,1,19.1000004,191,17.5599995
488,1,17.7000008,177,17.3199997
489,1,18.0000000,180,16.7199993
490,1,17.7999992,178,17.2700005
491,1,17.3999996,174,16.9400005
492,1,17.6000004,176,16.9500008
493,1,17.3999996,174,16.8799992
494,1,17.6000004,176,16.6399994
495,1,17.5000000,175,16.9200001
496,1,17.5000000,175,16.6499996
497,1,17.7999992,178,18.2099991
498,1,17.6000004,176,16.6200008
499,1,18.2000008,182,16.7099991
500,1,20.1000004,201,17.1700001
501,1,17.3999996,174,16.7299995
502,1,17.6000004,176,16.9599991
503,1,17.7000008,177,16.9099998
504,1,17.6000004,176,17.5400009
505,1,17.5000000,175,16.5499992
506,1,18.1000004,181,18.0599995
507,1,18.0000000,180,17.7500000
508,1,17.5000000,175,17.5300007
509,1,17.3999996,174,16.6299992
510,1,17.7000008,177,17.8600006
511,1,17.5000000,175,19.0200005
512,1,17.5000000,175,16.6299992
513,1,17.3999996,174,17.0000000
514,1,17.6000004,176,16.7099991
515,1,17.5000000,175,16.8299999
516,1,17.5000000,175,16.8799992
517,1,17.3999996,174,16.6299992
518,1,17.7000008,177,16.6399994
519,1,17.5000000,175,16.6900005
520,1,17.7000008,177,17.7999992
521,1,17.7000008,177,17.5400009
522,1,17.6000004,176,17.1599998
523,1,17.6000004,176,16.9899998
524,1,17.7000008,177,16.9899998
525,1,17.7000008,177,16.8299999
526,1,17.8999996,179,17.4699993
527,1,17.3999996,174,17.4400005
528,1,17.5000000,175,16.5400009
529,1,17.6000004,176,16.7900009
530,1,17.3999996,174,16.7000008
531,1,17.5000000,175,16.7999992
532,1,17.7999992,178,17.4200001
533,1,17.5000000,175,16.9699993
534,1,17.2999992,173,16.8999996
535,1,17.7999992,178,17.3199997
536,1,17.5000000,175,16.8700008
537,1,17.7000008,177,17.2999992
538,1,17.3999996,174,16.6800003
539,1,17.8999996,179,17.5699997
540,1,17.5000000,175,16.9599991
541,1,18.0000000,180,16.8799992
542,1,17.3999996,174,17.2700005
543,1,17.5000000,175,16.7500000
544,1,17.6000004,176,16.8500004
545,1,17.8999996,179,17.9500008
546,1,17.7000008,177,16.8299999
547,1,17.6000004,176,16.9699993
548,1,17.3999996,174,16.8299999
549,1,17.7000008,177,17.5900002
550,1,17.5000000,175,16.7999992
551,1,17.7000008,177,19.6700001
552,1,17.5000000,175,16.6599998
553,1,17.6000004,176,17.5300007
554,1,17.5000000,175,16.6800003
555,1,17.7000008,177,17.6000004
556,1,17.7000008,177,17.0799999
557,1,17.3999996,174,16.6499996
558,1,17.7999992,178,16.9899998
559,1,17.6000004,176,17.4799995
560,1,17.6000004,176,16.6800003
561,1,21.2999992,213,17.0400009
562,1,17.3999996,174,16.4599991
563,1,17.6000004,176,16.8700008
564,1,17.7999992,178,16.8199997
565,1,17.6000004,176,16.7500000
566,1,17.5000000,175,16.6599998
567,1,17.7000008,177,17.1499996
568,1,17.6000004,176,17.0499992
569,1,17.7999992,178,17.0400009
570,1,18.1000004,181,16.9400005
571,1,17.6000004,176,20.4200001
572,1,17.5000000,175,16.6499996
573,1,17.5000000,175,16.6800003
574,1,17.5000000,175,17.1800003
575,1,17.6000004,176,16.7800007
576,1,17.7000008,177,16.9599991
577,1,17.7000008,177,17.2800007
578,1,17.6000004,176,16.8099995
579,1,17.8999996,179,19.3600006
580,1,17.5000000,175,16.5599995
581,1,17.7999992,178,17.7900009
582,1,18.0000000,180,16.8400002
583,1,17.6000004,176,17.0100002
584,1,17.3999996,174,16.9500008
585,1,17.7000008,177,17.6599998
586,1,17.3999996,174,16.6299992
587,1,17.6000004,176,17.0900002
588,1,19.7999992,198,17.3099995
589,1,17.6000004,176,16.9899998
590,1,17.8999996,179,17.2500000
591,1,17.5000000,175,16.7800007
592,1,17.7000008,177,17.6000004
593,1,17.5000000,175,16.9300003
594,1,17.7000008,177,16.7900009
595,1,17.7000008,177,17.0699997
596,1,17.6000004,176,17.0499992
597,1,17.5000000,175,16.6200008
598,1,17.7000008,177,17.0100002
599,1,17.5000000,175,17.6299992
600,1,17.5000000,175,16.8099995
601,1,17.6000004,176,17.2299995
602,1,17.5000000,175,17.0200005
603,1,17.5000000,175,17.3199997
604,1,17.7999992,178,17.3899994
605,1,17.7000008,177,17.3500004
606,1,17.6000004,176,17.1700001
607,1,17.6000004,176,17.1299992
608,1,17.7000008,177,17.2199993
609,1,17.5000000,175,16.9699993
610,1,17.5000000,175,16.7099991
611,1,17.6000004,176,17.1299992
612,1,17.7999992,178,17.0000000
613,1,17.5000000,175,19.2399998
614,1,17.6000004,176,16.9400005
615,1,22.3999996,224,17.5000000
616,1,17.5000000,175,16.6399994
617,1,17.6000004,176,17.4500008
618,1,17.7999992,178,17.2900009
619,1,19.7999992,198,17.9300003
620,1,17.5000000,175,16.8199997
621,1,17.7999992,178,17.3400002
622,1,18.0000000,180,17.9200001
623,1,17.6000004,176,16.6599998
624,1,17.5000000,175,16.8799992
625,1,17.7000008,177,17.3700008
626,1,17.6000004,176,16.7199993
627,1,17.7000008,177,17.6499996
628,1,17.6000004,176,17.2000008
629,1,17.5000000,175,16.7999992
630,1,17.6000004,176,17.1200008
631,1,17.5000000,175,16.7900009
632,1,17.5000000,175,17.5799999
633,1,17.6000004,176,17.2800007
634,1,17.6000004,176,16.7099991
635,1,17.3999996,174,16.8700008
636,1,17.6000004,176,16.5699997
637,1,17.5000000,175,17.0200005
638,1,17.6000004,176,17.6499996
639,1,17.5000000,175,16.4400005
640,1,17.5000000,175,17.1700001
641,1,17.5000000,175,17.4799995
642,1,17.7000008,177,16.8500004
643,1,17.7000008,177,17.1299992
644,1,17.5000000,175,17.6800003
645,1,17.7999992,178,17.6700001
646,1,17.5000000,175,17.3700008
647,1,17.5000000,175,16.8199997
648,1,18.2000008,182,21.6499996
649,1,17.3999996,174,16.7000008
650,1,17.3999996,174,16.5799999
651,1,17.6000004,176,18.2000008
652,1,17.6000004,176,16.6599998
653,1,18.2000008,182,17.0100002
654,1,17.5000000,175,17.1900005
655,1,17.6000004,176,17.0200005
656,1,17.5000000,175,16.5100002
657,1,17.7000008,177,17.5799999
658,1,17.8999996,179,16.8199997
659,1,17.5000000,175,17.0000000
660,1,17.6000004,176,18.0100002
661,1,17.7000008,177,16.6399994
662,1,17.6000004,176,16.6000004
663,1,17.7000008,177,16.7199993
664,1,17.6000004,176,16.6900005
665,1,17.7999992,178,16.7099991
666,1,17.3999996,174,16.8700008
667,1,17.7000008,177,16.8899994
668,1,17.5000000,175,16.6900005
669,1,17.5000000,175,17.0200005
670,1,17.5000000,175,16.9099998
671,1,18.5000000,185,18.0599995
672,1,17.3999996,174,16.6700001
673,1,17.7000008,177,16.6599998
674,1,17.7000008,177,17.3099995
675,1,17.7000008,177,17.4099998
676,1,17.6000004,176,17.1599998
677,1,17.5000000,175,16.5900002
678,1,17.6000004,176,17.0699997
679,1,18.0000000,180,16.7600002
680,1,17.5000000,175,17.0699997
681,1,17.3999996,174,16.7000008
682,1,17.8999996,179,17.9300003
683,1,17.3999996,174,16.7000008
684,1,17.3999996,174,17.3899994
685,1,17.5000000,175,17.4099998
686,1,17.5000000,175,16.7900009
687,1,17.2999992,173,17.1800003
688,1,17.5000000,175,16.6499996
689,1,17.5000000,175,16.6299992
690,1,17.6000004,176,17.3700008
691,1,17.3999996,174,17.7399998
692,1,17.3999996,174,16.9799995
693,1,17.2999992,173,17.1499996
694,1,17.2999992,173,16.5100002
695,1,17.5000000,175,17.2800007
696,1,17.5000000,175,17.2399998
697,1,17.3999996,174,17.3700008
698,1,17.5000000,175,17.0799999
699,1,17.3999996,174,17.1499996
700,1,17.3999996,174,17.1399994
701,1,17.3999996,174,17.1200008
702,1,17.5000000,175,16.7199993
703,1,17.5000000,175,17.0100002
704,1,17.6000004,176,17.1000004
705,1,17.8999996,179,17.0300007
706,1,17.3999996,174,17.4899998
707,1,17.3999996,174,17.2600002
708,1,17.3999996,174,16.7800007
709,1,17.3999996,174,16.7700005
710,1,17.5000000,175,17.1299992
711,1,17.6000004,176,17.6000004
712,1,17.6000004,176,17.9799995
713,1,17.3999996,174,16.6299992
714,1,17.5000000,175,17.0400009
715,1,17.6000004,176,16.9599991
716,1,17.3999996,174,16.7900009
717,1,17.3999996,174,17.1100006
718,1,17.2999992,173,16.8099995
719,1,17.3999996,174,17.2700005
720,1,17.3999996,174,16.8400002
721,1,17.6000004,176,17.2000008
722,1,17.5000000,175,16.7299995
723,1,17.3999996,174,17.1599998
724,1,17.5000000,175,16.6299992
725,1,17.7000008,177,17.1700001
726,1,17.2999992,173,17.0200005
727,1,17.5000000,175,16.8500004
728,1,17.2999992,173,16.8099995
729,1,17.6000004,176,16.7700005
730,1,17.2999992,173,17.1900005
731,1,17.3999996,174,16.9599991
732,1,17.5000000,175,16.8799992
733,1,17.6000004,176,17.8600006
734,1,17.3999996,174,16.5599995
735,1,17.3999996,174,17.2199993
736,1,17.2999992,173,17.2399998
737,1,17.7000008,177,17.3299999
738,1,17.6000004,176,17.1200008
739,1,17.3999996,174,16.8500004
740,1,17.3999996,174,17.8799992
741,1,17.3999996,174,16.7700005
742,1,17.3999996,174,17.2099991
743,1,17.3999996,174,16.7600002
744,1,17.3999996,174,17.1499996
745,1,17.7000008,177,19.1100006
746,1,17.3999996,174,16.7000008
747,1,17.3999996,174,17.0000000
748,1,17.3999996,174,17.1200008
749,1,17.5000000,175,17.1599998
750,1,17.5000000,175,16.9799995
751,1,17.2999992,173,16.6499996
752,1,17.3999996,174,17.0300007
753,1,17.7000008,177,16.9899998
754,1,17.3999996,174,16.9200001
755,1,17.3999996,174,16.7800007
756,1,17.3999996,174,17.3700008
757,1,17.5000000,175,17.0799999
758,1,17.3999996,174,17.0000000
759,1,17.3999996,174,17.1000004
760,1,17.5000000,175,16.8999996
761,1,17.3999996,174,16.6000004
762,1,18.0000000,180,16.7900009
763,1,17.2999992,173,17.2999992
764,1,17.3999996,174,16.5699997
765,1,17.3999996,174,17.0900002
766,1,17.2000008,172,16.8899994
767,1,17.5000000,175,16.6399994
768,1,17.7000008,177,17.3500004
769,1,17.5000000,175,16.8099995
770,1,17.5000000,175,17.1000004
771,1,17.7999992,178,17.2199993
