OID_,Log_ID_txt,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90,PCT80,PCT70,PCT60,PCT50,PCT40,PCT30,PCT20,PCT10
1,10792428,1,2587.000000000000000,10.893078628640415,20.280000686645508,22.100000381469727,1.819999694824219,20.711530758415709,0.316353603131126,53580.730072021440719,20.569999694824219,21.209999084472656,21.010000228881836,20.840000152587891,20.620000839233398,20.569999694824219,20.530000686645508,20.500000000000000,20.469999313354492,20.430000305175781
2,2331257,2,1061.000000000000000,4.467551768452834,21.309999465942383,24.139999389648438,2.829999923706055,21.720197959849575,0.353883895444412,23045.130035400397901,21.629999160766602,22.180000305175781,21.860000610351562,21.770000457763672,21.700000762939453,21.629999160766602,21.569999694824219,21.530000686645508,21.469999313354492,21.399999618530273
3,10862876,3,2324.000000000000000,9.785664759551731,21.149999618530273,26.629999160766602,5.479999542236328,22.442831340632246,1.022239360422108,52157.140035629337945,22.120000839233398,23.780000686645508,23.319999694824219,22.989999771118164,22.450000762939453,22.120000839233398,21.879999160766602,21.750000000000000,21.610000610351562,21.350000381469727
4,10862886,4,14070.000000000000000,59.244536646683670,20.440000534057617,23.700000762939453,3.260000228881836,21.019523097880853,0.450715018747177,295744.689987183606718,20.870000839233398,21.620000839233398,21.209999084472656,21.069999694824219,20.959999084472656,20.870000839233398,20.809999465942383,20.760000228881836,20.700000762939453,20.649999618530273
5,10862878,5,10773.000000000000000,45.361861641416006,20.360000610351562,27.819999694824219,7.459999084472656,21.207183704395661,0.839697818938889,228464.990047454455635,20.829999923706055,22.420000076293945,21.670000076293945,21.260000228881836,21.049999237060547,20.829999923706055,20.760000228881836,20.690000534057617,20.639999389648438,20.590000152587891
6,10360382,6,325.000000000000000,1.368477214653319,21.180000305175781,22.729999542236328,1.549999237060547,21.822400037325338,0.268661205632459,7092.280012130734576,21.809999465942383,22.165999984741212,22.032000732421874,21.950000762939453,21.870000839233398,21.809999465942383,21.745999908447267,21.661999893188476,21.598000335693357,21.514000320434569
7,10360378,7,1047.000000000000000,4.408601980744691,22.639999389648438,26.079999923706055,3.440000534057617,23.592254061184271,0.732703822122193,24701.090002059932885,23.340000152587891,24.780000686645508,24.180000305175781,23.661999893188476,23.459999084472656,23.340000152587891,23.250000000000000,23.139999389648438,23.040000915527344,22.905999755859376
8,10524511,8,5471.000000000000000,23.036734896517864,21.120000839233398,27.229999542236328,6.109998703002930,22.059515622389480,0.933707895291918,120687.609970092846197,21.809999465942383,23.120000839233398,22.510000228881836,22.190000534057617,21.950000762939453,21.809999465942383,21.600000381469727,21.489999771118164,21.379999160766602,21.290000915527344
9,10360379,9,2440.000000000000000,10.274105857704916,21.000000000000000,23.840000152587891,2.840000152587891,21.660008203787871,0.450797015436809,52850.420017242409813,21.559999465942383,22.309999465942383,21.959999084472656,21.780000686645508,21.659999847412109,21.559999465942383,21.479999542236328,21.379999160766602,21.290000915527344,21.180000305175781
10,10862908,10,532.000000000000000,2.240091932909432,20.579999923706055,26.340000152587891,5.760000228881836,21.621672942226105,1.238074723059237,11502.730005264287684,21.149999618530273,23.326000404357917,22.065999603271486,21.626999664306641,21.356000518798830,21.149999618530273,21.004000091552733,20.892999458312985,20.801999282836913,20.709999084472656
11,10862923,11,1458.000000000000000,6.139199319890888,21.750000000000000,25.270000457763672,3.520000457763672,22.467846357609815,0.504747579303070,32758.119989395112498,22.309999465942383,23.229999542236328,22.959999084472656,22.649999618530273,22.450000762939453,22.309999465942383,22.209999084472656,22.120000839233398,22.040000915527344,21.950000762939453
12,2331280a,12,207.000000000000000,0.871614718256114,22.610000610351562,25.860000610351562,3.250000000000000,23.830724670115302,0.955626102817551,4932.960006713867188,23.649999618530273,25.260000228881836,24.858000564575196,24.461999130249026,24.071999740600585,23.649999618530273,23.219999313354492,22.997999954223634,22.860000610351562,22.750000000000000
13,10862915,16,3625.000000000000000,15.263784317287016,20.110000610351562,23.819999694824219,3.709999084472656,21.257362769291312,0.621380675534444,77057.940038681001170,21.100000381469727,22.129999160766602,21.709999084472656,21.430000305175781,21.219999313354492,21.100000381469727,21.020000457763672,20.920000076293945,20.790000915527344,20.594000244140624
14,10862879,17,7107.000000000000000,29.925438660126570,19.889999389648438,24.819999694824219,4.930000305175781,21.104076250773240,0.884468716570178,149986.669914245401742,20.930000305175781,22.370000839233398,21.909999847412109,21.469999313354492,21.180000305175781,20.930000305175781,20.639999389648438,20.399999618530273,20.299999237060547,20.149999618530273
15,10862875a,18,1743.000000000000000,7.339248569663797,21.739999771118164,26.940000534057617,5.200000762939453,22.767997707776217,0.849164977735629,39684.620004653945216,22.530000686645508,23.940000534057617,23.260000228881836,23.044000244140626,22.792000579833985,22.530000686645508,22.299999237060547,22.180000305175781,22.090000152587891,21.979999542236328
16,10872720,19,122.000000000000000,0.513705292885246,23.329999923706055,24.440000534057617,1.110000610351562,23.916229545092971,0.261227679125523,2917.780004501342319,23.904999732971191,24.317999649047852,24.135999679565430,24.030000686645508,23.946000671386720,23.904999732971191,23.864000701904295,23.796000480651855,23.700000762939453,23.580999946594236
17,10862894,20,8146.000000000000000,34.300355047895181,19.600000381469727,23.299999237060547,3.699998855590820,20.330179238828688,0.549916573270954,165609.640079498494742,20.180000305175781,21.049999237060547,20.760000228881836,20.520000457763672,20.329999923706055,20.180000305175781,20.030000686645508,19.969999313354492,19.909999847412109,19.760000228881836
