OID_,ORIG_FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
362,362,9.000000000000000,3.239999999998911,17.399999618530273,17.500000000000000,0.100000381469727,17.411110772026909,0.031427087937105,156.699996948242188,17.399999618530273,17.419999694824220
363,363,9.000000000000000,3.239999999998911,17.299999237060547,17.500000000000000,0.200000762939453,17.411110772026909,0.056655988497873,156.699996948242188,17.399999618530273,17.500000000000000
364,364,8.000000000000000,2.879999999999032,17.299999237060547,17.500000000000000,0.200000762939453,17.387499570846558,0.059948122724477,139.099996566772461,17.399999618530273,17.429999732971190
365,365,9.000000000000000,3.239999999998911,17.200000762939453,17.500000000000000,0.299999237060547,17.355555216471355,0.083147862633469,156.199996948242188,17.399999618530273,17.419999694824220
366,366,9.000000000000000,3.239999999998911,17.299999237060547,17.500000000000000,0.200000762939453,17.377777311537002,0.062854175874209,156.399995803833008,17.399999618530273,17.419999694824220
367,367,9.000000000000000,3.239999999998911,17.399999618530273,17.500000000000000,0.100000381469727,17.433333079020183,0.047140631905657,156.899997711181641,17.399999618530273,17.500000000000000
368,368,8.000000000000000,2.879999999999032,17.200000762939453,17.500000000000000,0.299999237060547,17.387499809265137,0.105326849529674,139.099998474121094,17.399999618530273,17.500000000000000
369,369,9.000000000000000,3.239999999998911,17.299999237060547,17.399999618530273,0.100000381469727,17.355555004543728,0.049690589053826,156.199995040893555,17.399999618530273,17.399999618530273
370,370,10.000000000000000,3.599999999998790,17.299999237060547,17.500000000000000,0.200000762939453,17.369999504089357,0.090000343322754,173.699995040893555,17.299999237060547,17.500000000000000
371,371,8.000000000000000,2.879999999999032,17.299999237060547,17.500000000000000,0.200000762939453,17.374999523162842,0.066144035095122,138.999996185302734,17.399999618530273,17.429999732971190
372,372,8.000000000000000,2.879999999999032,17.299999237060547,17.399999618530273,0.100000381469727,17.387499570846558,0.033072017547561,139.099996566772461,17.399999618530273,17.399999618530273
373,373,8.000000000000000,2.879999999999032,17.399999618530273,17.500000000000000,0.100000381469727,17.424999713897702,0.043301435370458,139.399997711181612,17.399999618530273,17.500000000000000
374,374,9.000000000000000,3.239999999998911,17.299999237060547,17.500000000000000,0.200000762939453,17.411110772026909,0.056655988497873,156.699996948242188,17.399999618530273,17.500000000000000
