OID_,CID,TIR08262019Masknew_1,TIR07152021Masknew_1
185,1,16.1000004,17.5100002
186,1,16.2099991,16.7999992
187,1,17.0599995,17.6800003
188,1,16.0300007,18.2700005
189,1,17.1700001,17.9699993
190,1,16.8299999,17.7199993
191,1,16.2500000,18.2399998
192,1,16.2700005,19.7600002
193,1,16.5000000,16.9099998
194,1,16.2199993,17.4899998
195,1,16.7299995,17.6700001
196,1,16.4799995,18.2999992
197,1,16.0799999,19.6299992
198,1,17.2199993,17.8299999
199,1,16.7199993,18.0200005
200,1,16.2399998,17.3700008
201,1,18.4599991,18.8099995
202,1,16.3299999,17.5799999
203,1,16.3700008,17.1399994
204,1,16.2099991,17.0200005
205,1,19.4799995,19.0900002
206,1,16.3799992,18.3899994
207,1,16.3099995,17.3600006
208,1,16.7800007,17.6800003
209,1,16.5799999,18.0599995
210,1,16.2299995,17.8199997
211,1,16.1900005,17.3999996
212,1,16.1000004,17.7800007
213,1,16.4799995,17.4500008
214,1,17.2199993,17.7700005
215,1,16.7099991,18.0599995
216,1,16.8799992,17.8299999
217,1,16.2099991,18.5900002
218,1,16.5699997,17.7199993
219,1,16.2800007,17.9899998
220,1,17.5799999,18.3400002
221,1,18.1800003,18.3500004
222,1,16.1299992,17.5599995
223,1,15.9799995,16.9799995
224,1,16.3899994,16.9899998
225,1,18.7199993,18.7399998
226,1,16.2099991,17.6599998
227,1,16.0799999,17.5599995
228,1,16.1800003,17.1399994
229,1,16.1700001,17.0900002
230,1,16.6200008,17.6000004
231,1,16.6800003,17.6200008
232,1,16.1499996,17.8299999
233,1,16.3500004,17.3899994
234,1,16.9500008,17.7600002
235,1,16.3999996,18.9500008
236,1,15.9700003,18.2199993
237,1,16.8099995,21.6299992
238,1,16.1800003,17.5499992
239,1,16.1399994,17.3799992
240,1,16.1000004,21.0400009
241,1,16.3299999,17.5699997
242,1,16.6900005,17.7700005
243,1,16.2000008,16.8899994
244,1,16.1499996,16.8799992
245,1,16.9099998,18.3799992
246,1,16.2900009,18.7299995
247,1,16.4599991,17.7900009
248,1,16.3500004,18.2700005
249,1,17.2600002,17.9099998
250,1,17.2600002,17.5300007
251,1,16.2099991,17.2099991
252,1,16.6499996,18.9099998
253,1,16.2900009,17.7099991
254,1,17.7399998,18.7099991
255,1,16.4300003,17.3799992
256,1,16.2999992,17.5100002
257,1,16.5000000,19.8400002
258,1,17.1200008,19.6599998
259,1,15.9399996,17.0799999
260,1,16.9099998,17.5799999
261,1,15.9300003,16.9899998
262,1,17.1800003,17.7999992
263,1,15.9799995,17.0599995
264,1,16.1100006,17.2500000
265,1,16.6399994,17.2800007
266,1,15.9700003,17.0100002
267,1,16.7000008,17.5200005
268,1,16.1200008,17.0799999
269,1,16.2000008,17.0499992
270,1,16.5400009,17.6700001
271,1,16.0900002,17.3299999
272,1,16.7800007,19.4500008
273,1,17.3500004,17.6800003
274,1,17.0400009,17.5799999
275,1,16.7199993,17.6399994
276,1,16.7000008,18.9300003
277,1,16.5000000,17.5499992
278,1,16.9799995,16.7900009
279,1,17.3799992,19.0799999
280,1,17.6100006,17.5400009
281,1,17.0699997,17.4400005
282,1,16.5799999,17.4699993
283,1,16.3700008,17.6200008
284,1,17.0000000,17.9200001
285,1,16.7299995,20.2299995
286,1,16.5100002,17.3700008
287,1,16.3899994,17.5000000
288,1,16.0000000,17.3999996
289,1,17.3500004,17.3500004
290,1,16.3799992,17.1100006
291,1,16.9899998,19.1900005
292,1,17.2399998,17.9699993
293,1,16.0300007,17.5000000
294,1,16.5000000,17.4799995
295,1,17.2399998,17.4799995
296,1,16.1499996,17.0900002
297,1,16.9699993,18.2700005
298,1,17.0599995,20.1599998
299,1,16.6100006,17.1200008
300,1,16.2800007,17.0200005
301,1,16.4699993,17.0799999
302,1,16.8999996,17.3400002
303,1,16.3999996,17.1599998
304,1,16.3700008,17.2299995
305,1,16.1900005,17.0200005
306,1,15.9799995,16.9400005
307,1,16.2800007,17.0300007
308,1,17.2199993,17.4799995
309,1,16.2900009,17.1200008
310,1,16.4599991,17.6399994
311,1,17.3700008,17.3099995
312,1,16.6299992,17.7299995
313,1,16.7199993,17.3600006
314,1,16.8099995,17.6499996
315,1,16.3999996,17.1200008
316,1,17.0699997,17.1000004
317,1,16.5900002,17.4500008
318,1,16.5100002,17.1900005
319,1,16.4599991,17.6200008
320,1,16.1299992,16.8500004
321,1,17.3299999,16.9799995
322,1,16.3500004,17.1399994
323,1,16.3199997,18.1299992
324,1,16.7399998,17.6599998
325,1,16.3899994,17.5900002
326,1,16.2500000,17.1100006
327,1,17.2399998,18.0499992
328,1,16.4799995,17.6299992
329,1,16.3700008,17.5499992
330,1,16.9099998,17.9500008
331,1,16.2500000,17.4300003
332,1,16.1599998,17.2999992
333,1,17.7500000,18.3099995
334,1,17.5100002,18.6900005
335,1,16.5699997,18.0200005
336,1,16.6299992,18.0499992
337,1,16.4799995,17.8299999
338,1,16.8500004,17.8700008
339,1,16.8700008,18.2399998
340,1,16.9099998,17.7099991
341,1,17.3199997,17.6800003
342,1,17.3999996,17.8400002
343,1,17.4699993,18.1399994
344,1,16.8099995,17.6499996
345,1,17.8700008,18.2399998
346,1,16.5599995,17.8799992
347,1,16.6399994,17.9500008
348,1,17.8500004,18.6200008
349,1,16.8799992,17.8899994
350,1,16.9400005,18.8500004
351,1,17.0599995,17.9899998
352,1,16.2800007,17.7000008
353,1,16.6200008,17.8199997
354,1,17.0300007,18.6599998
355,1,17.3099995,19.0499992
356,1,17.2299995,18.7500000
357,1,17.3899994,18.7900009
358,1,16.9599991,18.8199997
359,1,17.6000004,20.0499992
360,1,19.2999992,22.0000000
361,1,18.2600002,19.7000008
362,1,16.8799992,18.5000000
363,1,17.2700005,18.6700001
364,1,17.2099991,18.7399998
365,1,17.3400002,18.7399998
366,1,17.2500000,18.7399998
367,1,17.0599995,18.5499992
368,1,17.0699997,17.8199997
369,1,21.0499992,19.6200008
370,1,17.9500008,19.4500008
371,1,17.3600006,19.7000008
372,1,16.2999992,17.4200001
373,1,16.8099995,17.0100002
374,1,16.5599995,17.1000004
375,1,17.4799995,18.6800003
376,1,16.7900009,17.4500008
377,1,25.3999996,17.4899998
378,1,17.5300007,19.4899998
379,1,18.1100006,18.9099998
380,1,16.7800007,17.5499992
381,1,18.6900005,19.6100006
382,1,17.9799995,19.6499996
383,1,19.8899994,20.0200005
384,1,19.6299992,19.2399998
385,1,18.0000000,18.9099998
386,1,18.9300003,20.8700008
387,1,21.1800003,18.6100006
388,1,17.2600002,19.8799992
389,1,25.1700001,19.5400009
390,1,19.2099991,19.8199997
391,1,20.8500004,17.5900002
392,1,17.0100002,18.2700005
393,1,16.9799995,19.0900002
394,1,23.0699997,19.0000000
395,1,17.5900002,19.3999996
396,1,15.8599997,17.5000000
397,1,18.7000008,19.6200008
398,1,20.1599998,17.2600002
399,1,19.2800007,19.6100006
400,1,18.5100002,19.6800003
401,1,18.2800007,19.5499992
402,1,19.4500008,19.3099995
403,1,17.2099991,17.3500004
404,1,16.1499996,17.6200008
405,1,19.5000000,19.2999992
406,1,25.4500008,18.6700001
407,1,17.8799992,18.6800003
408,1,18.6900005,18.5400009
409,1,22.6700001,20.1399994
410,1,17.2099991,17.1200008
411,1,18.1700001,17.2199993
412,1,16.4899998,16.9300003
413,1,18.4200001,17.2600002
414,1,19.1499996,17.5200005
415,1,18.6100006,19.9200001
416,1,18.0100002,19.5499992
417,1,17.7800007,18.7600002
418,1,18.7500000,19.7600002
419,1,16.8500004,17.0699997
420,1,20.4699993,19.3199997
421,1,18.8500004,19.7900009
422,1,17.0799999,17.4599991
423,1,19.8400002,19.6700001
424,1,31.0400009,22.6100006
425,1,24.0599995,19.1000004
426,1,18.2399998,18.5599995
427,1,17.1900005,17.7700005
428,1,22.4099998,19.1100006
429,1,21.7199993,19.0000000
430,1,16.7399998,17.1700001
431,1,18.1100006,18.6000004
432,1,24.5599995,19.0400009
433,1,17.9099998,17.5200005
434,1,18.0699997,19.6299992
435,1,17.7700005,18.9300003
436,1,17.7000008,19.0599995
437,1,16.9300003,17.1700001
438,1,19.2099991,19.4500008
439,1,23.9500008,17.2800007
440,1,18.1000004,21.4899998
441,1,16.1000004,17.1000004
442,1,19.6100006,19.8899994
443,1,18.7299995,19.7299995
444,1,21.8600006,17.5300007
445,1,17.0000000,17.8899994
446,1,18.6000004,19.1399994
447,1,16.7600002,17.4799995
448,1,17.6100006,18.9899998
449,1,17.3099995,17.4799995
450,1,16.8600006,16.9200001
451,1,18.1499996,18.7099991
452,1,16.9899998,17.2199993
453,1,17.7600002,19.0900002
454,1,16.3899994,16.9400005
455,1,18.3299999,19.7099991
456,1,17.0900002,17.6499996
457,1,21.2500000,17.5699997
458,1,18.0599995,19.0699997
459,1,22.1000004,19.7700005
460,1,20.7199993,19.3999996
461,1,23.7099991,19.0000000
462,1,17.8099995,19.0599995
463,1,20.2299995,17.7299995
464,1,17.9300003,20.1000004
465,1,17.4799995,19.3600006
466,1,22.6299992,18.8999996
467,1,19.6399994,17.4699993
468,1,20.6299992,18.6700001
469,1,21.8799992,17.9300003
470,1,17.5400009,19.3700008
471,1,16.8500004,17.8899994
472,1,18.0400009,17.3700008
473,1,19.8199997,19.6100006
474,1,17.6200008,18.2900009
475,1,17.1499996,19.0900002
476,1,24.7900009,17.2199993
477,1,27.8600006,20.5799999
478,1,22.6200008,17.5900002
479,1,19.3999996,19.5000000
480,1,20.7199993,18.6599998
481,1,19.9400005,19.6299992
482,1,18.0900002,18.8299999
483,1,18.0000000,18.4899998
484,1,16.3700008,16.9400005
485,1,18.2600002,19.4300003
486,1,17.3700008,17.3999996
487,1,22.0200005,18.8700008
488,1,18.6299992,19.6100006
489,1,17.3400002,17.1399994
490,1,20.1000004,19.0900002
491,1,18.2199993,19.3999996
492,1,18.3199997,19.8899994
493,1,17.6000004,18.9899998
494,1,17.8899994,18.6399994
495,1,18.1599998,19.1700001
496,1,22.6200008,17.3799992
497,1,16.2500000,17.5300007
498,1,16.6399994,17.0900002
499,1,17.3299999,19.1700001
500,1,19.1399994,19.7199993
501,1,18.8400002,18.6100006
502,1,17.8099995,18.8999996
503,1,17.0300007,18.8600006
504,1,17.2099991,18.4599991
505,1,17.2399998,18.1700001
506,1,16.8899994,18.8999996
507,1,18.2299995,19.4400005
508,1,17.0499992,18.8299999
509,1,17.1700001,19.0200005
510,1,16.9400005,18.3400002
511,1,15.1800003,17.0499992
512,1,17.0499992,18.4599991
513,1,19.0200005,20.4400005
514,1,16.8700008,19.3899994
515,1,17.1599998,18.9799995
516,1,18.0100002,20.1599998
517,1,16.9699993,18.3099995
518,1,17.0499992,18.4899998
519,1,16.9799995,19.0900002
520,1,15.6099997,17.0000000
521,1,18.0699997,19.8099995
522,1,15.4700003,16.9300003
523,1,17.6499996,18.6200008
524,1,17.7099991,19.1100006
525,1,17.0599995,18.2399998
526,1,17.8700008,18.9500008
527,1,16.9699993,18.3700008
528,1,17.3299999,18.6700001
529,1,17.8199997,18.7800007
530,1,17.4799995,18.3799992
531,1,18.1499996,19.2999992
532,1,17.1700001,18.6800003
533,1,18.3799992,19.8099995
534,1,17.5200005,19.0200005
535,1,17.7700005,18.8600006
536,1,17.7800007,19.1000004
537,1,17.1900005,19.0100002
538,1,17.1900005,18.9300003
539,1,14.9799995,16.7800007
540,1,17.7199993,18.5200005
541,1,17.3400002,18.4899998
542,1,18.0000000,19.5300007
543,1,17.5000000,18.8299999
544,1,17.8899994,19.3999996
545,1,17.1000004,18.4300003
546,1,17.6100006,19.8999996
547,1,18.4899998,19.2900009
548,1,17.5400009,18.9400005
549,1,17.8700008,19.0499992
550,1,15.0600004,16.7999992
551,1,17.7000008,18.8899994
552,1,17.8299999,19.7500000
553,1,17.2600002,18.0599995
554,1,17.6000004,18.7700005
555,1,17.0400009,18.3600006
556,1,17.8999996,19.1800003
557,1,16.6000004,18.4200001
558,1,18.8199997,21.5599995
559,1,18.1599998,19.4699993
560,1,17.4500008,18.2700005
561,1,18.2299995,19.3400002
562,1,17.9300003,18.7199993
563,1,17.2099991,19.0900002
564,1,17.7199993,19.7500000
565,1,16.9899998,19.2000008
566,1,17.1700001,17.8600006
567,1,16.8400002,17.1299992
568,1,16.0400009,17.3299999
569,1,16.4300003,17.6200008
570,1,17.0599995,17.8600006
571,1,16.7700005,17.8299999
572,1,16.2600002,17.6599998
573,1,16.5000000,17.5900002
574,1,16.9200001,17.3999996
575,1,17.0000000,19.7399998
576,1,17.2199993,18.3400002
577,1,16.5799999,17.7600002
578,1,16.6299992,17.6700001
579,1,15.7799997,17.3199997
580,1,16.9200001,17.9599991
581,1,16.8899994,18.9799995
582,1,16.3400002,17.6399994
583,1,16.0499992,17.2600002
584,1,17.0300007,18.2999992
585,1,17.1599998,18.2099991
586,1,15.2200003,17.9699993
587,1,16.7800007,18.4200001
588,1,15.9899998,17.4099998
589,1,16.3999996,17.6599998
590,1,15.7799997,17.4899998
591,1,16.6299992,17.5599995
592,1,16.3199997,17.4300003
593,1,17.1599998,19.6399994
594,1,17.5300007,19.6100006
595,1,16.4899998,18.3799992
596,1,16.8400002,18.0499992
597,1,16.9200001,17.7199993
598,1,17.1900005,18.4300003
599,1,15.8599997,17.6299992
600,1,16.7399998,17.7600002
601,1,17.4699993,18.7999992
602,1,16.5900002,17.7999992
603,1,16.5499992,17.9599991
604,1,16.6800003,18.6000004
605,1,16.8500004,19.0300007
606,1,16.3299999,17.5699997
607,1,15.4600000,17.1800003
608,1,17.3600006,18.4699993
609,1,16.8400002,18.1000004
610,1,16.0499992,17.3299999
611,1,15.9499998,17.3500004
612,1,15.8299999,17.2700005
613,1,16.3799992,17.4400005
614,1,16.1399994,17.3999996
615,1,16.6200008,17.5699997
616,1,15.5100002,17.2199993
617,1,16.7600002,18.6599998
618,1,16.1100006,17.4099998
619,1,15.5900002,17.3500004
620,1,16.7500000,17.7199993
621,1,16.7999992,18.6000004
622,1,16.7500000,19.1800003
623,1,16.0699997,17.4899998
624,1,16.6800003,17.9799995
625,1,15.6499996,17.0200005
626,1,16.7199993,17.1800003
627,1,15.3000002,17.7299995
628,1,17.0799999,18.6700001
629,1,16.6399994,18.3500004
630,1,16.2999992,18.0499992
631,1,16.5300007,18.7299995
632,1,16.5499992,17.7500000
633,1,17.2000008,19.2399998
634,1,18.3400002,18.3400002
635,1,16.7199993,18.2099991
636,1,17.2000008,17.5799999
637,1,15.9899998,17.5000000
638,1,15.9899998,17.4200001
639,1,16.8799992,18.8199997
640,1,16.2700005,17.5400009
641,1,17.3600006,17.8400002
642,1,16.2199993,17.4300003
643,1,16.7700005,17.9500008
644,1,17.5100002,18.6100006
645,1,16.8799992,18.2299995
646,1,17.4500008,18.1700001
647,1,17.3299999,17.7900009
648,1,16.5900002,17.7600002
649,1,15.8299999,17.8500004
650,1,16.5000000,18.2900009
651,1,16.6499996,17.3600006
652,1,16.1200008,17.8199997
653,1,17.6299992,19.5900002
654,1,16.5499992,17.6800003
655,1,16.8400002,17.8700008
656,1,16.7299995,17.6700001
657,1,17.3199997,18.1000004
658,1,16.2000008,17.2600002
659,1,18.1800003,19.5799999
660,1,17.5799999,18.4500008
661,1,15.7799997,17.4599991
662,1,16.6599998,17.2099991
663,1,16.9300003,17.3400002
664,1,17.0400009,18.0400009
665,1,16.0200005,17.2999992
666,1,16.0300007,17.5300007
667,1,16.1000004,17.5200005
668,1,17.5300007,19.5799999
669,1,19.0900002,18.8500004
670,1,16.2299995,17.2399998
671,1,16.5599995,17.5599995
672,1,16.7600002,17.7800007
673,1,16.2500000,18.2399998
674,1,16.6700001,17.4099998
675,1,16.7199993,17.3799992
676,1,16.4899998,17.6700001
677,1,16.4099998,17.6399994
678,1,16.4899998,17.6700001
679,1,16.5000000,18.0599995
680,1,19.4400005,20.3700008
681,1,16.3700008,17.5599995
682,1,16.3899994,18.0699997
683,1,17.9899998,19.5000000
684,1,16.3299999,17.8799992
685,1,16.4899998,17.4300003
686,1,16.8600006,18.6200008
687,1,18.1499996,18.8999996
688,1,18.1800003,18.6200008
689,1,16.3400002,17.7800007
690,1,16.1000004,17.8899994
691,1,16.3400002,17.8299999
692,1,17.9500008,18.1299992
693,1,17.5000000,18.3299999
694,1,17.2700005,18.2600002
695,1,18.4699993,21.6900005
696,1,17.3299999,18.2500000
697,1,16.3899994,18.5900002
698,1,15.9099998,18.0900002
699,1,17.4500008,18.4500008
700,1,17.3999996,18.0200005
701,1,17.4899998,18.1599998
702,1,16.1900005,17.4300003
703,1,16.2299995,18.2000008
704,1,16.1100006,17.9400005
705,1,15.7799997,17.8400002
706,1,17.4899998,19.2600002
707,1,15.8299999,18.2500000
708,1,17.4300003,18.7399998
709,1,17.5100002,18.4099998
710,1,18.2500000,17.8500004
711,1,17.1700001,18.4200001
712,1,17.8899994,18.6499996
713,1,17.4099998,18.1299992
714,1,16.3799992,18.7000008
715,1,17.1000004,18.5200005
716,1,17.6100006,18.9300003
717,1,17.4899998,18.3999996
718,1,16.2299995,17.3400002
719,1,17.5300007,19.3899994
720,1,16.8999996,18.0599995
721,1,18.0599995,18.9699993
722,1,17.2800007,18.2999992
723,1,16.0699997,17.5100002
724,1,17.7700005,18.7099991
725,1,17.5499992,18.4699993
726,1,16.2700005,17.2500000
727,1,17.7299995,18.7000008
728,1,15.9399996,17.3500004
729,1,15.7700005,17.7199993
730,1,18.9500008,19.3299999
731,1,17.1700001,18.4500008
732,1,16.3299999,17.7399998
733,1,15.7100000,17.7999992
734,1,17.1499996,18.2000008
735,1,16.9899998,18.3600006
736,1,15.9099998,17.3799992
737,1,17.7399998,18.6000004
738,1,16.8099995,18.2099991
739,1,17.9200001,20.3400002
740,1,15.8500004,17.3400002
741,1,17.0900002,18.3099995
742,1,16.3999996,17.8600006
743,1,16.1800003,17.4300003
744,1,16.8199997,18.4799995
745,1,17.3400002,18.9099998
746,1,16.8700008,19.6399994
747,1,16.6399994,19.3199997
748,1,16.8099995,18.1299992
749,1,16.9200001,18.5799999
750,1,16.8199997,18.6399994
751,1,16.6200008,18.3700008
752,1,16.9500008,18.1700001
753,1,16.5799999,18.6700001
754,1,17.3799992,18.6299992
755,1,16.6499996,18.5900002
756,1,16.7099991,18.2700005
757,1,16.8199997,18.0900002
758,1,16.8899994,18.7000008
759,1,16.8999996,18.3600006
760,1,17.0100002,18.8999996
761,1,16.6900005,18.4200001
762,1,16.7700005,18.3299999
763,1,16.7299995,18.3999996
764,1,16.7399998,18.8700008
765,1,20.0499992,19.0699997
766,1,16.7600002,18.9099998
767,1,16.8400002,18.4300003
768,1,18.0000000,19.6599998
769,1,19.1299992,20.7299995
770,1,17.5400009,18.9899998
771,1,16.5499992,18.1399994
772,1,16.7399998,18.4500008
773,1,16.9799995,18.9400005
774,1,16.6599998,18.1800003
775,1,16.6299992,18.5300007
776,1,16.9699993,18.3500004
777,1,16.9400005,18.3700008
778,1,17.0599995,18.9099998
779,1,16.6800003,18.0200005
780,1,16.6700001,18.5699997
781,1,16.6200008,19.3299999
782,1,16.7999992,18.7600002
783,1,16.6499996,18.2999992
784,1,16.6100006,18.3199997
785,1,17.0300007,18.7700005
786,1,17.0300007,18.8899994
787,1,16.7099991,18.4099998
788,1,16.7999992,18.4200001
789,1,16.7099991,18.6200008
790,1,16.7800007,18.0499992
791,1,16.9899998,18.6900005
792,1,17.0799999,18.3500004
793,1,16.9500008,19.0100002
794,1,16.5799999,18.5400009
795,1,17.9599991,19.1399994
796,1,16.8999996,18.3799992
797,1,16.9300003,18.7500000
798,1,16.6399994,18.1200008
799,1,16.9099998,18.6100006
800,1,16.7600002,18.1599998
801,1,17.2099991,18.9500008
802,1,16.9699993,18.7800007
803,1,16.6299992,18.6000004
804,1,17.1000004,19.1299992
805,1,16.6299992,18.3700008
806,1,16.6700001,18.1900005
807,1,16.7800007,19.0100002
808,1,17.1100006,19.3600006
809,1,16.7299995,18.5400009
810,1,17.6900005,19.0000000
811,1,16.8099995,18.6700001
812,1,16.8700008,18.3799992
813,1,16.7700005,18.4899998
814,1,17.1200008,18.6599998
815,1,17.0300007,18.6200008
816,1,16.7999992,18.2999992
817,1,16.8400002,18.1299992
818,1,16.7999992,18.2099991
819,1,16.5699997,18.4799995
820,1,16.7299995,18.1200008
821,1,16.8700008,18.2199993
822,1,16.6800003,18.4500008
823,1,16.8400002,18.4200001
824,1,16.5900002,18.2500000
825,1,16.6499996,18.8099995
826,1,17.7199993,18.6000004
827,1,16.8500004,18.5000000
828,1,17.4099998,18.8700008
829,1,18.2999992,20.0900002
830,1,16.7600002,18.2999992
831,1,16.9699993,18.3899994
832,1,17.0699997,18.4400005
833,1,17.4200001,18.3899994
834,1,16.6299992,18.3799992
835,1,16.6800003,18.1399994
836,1,16.8700008,18.5900002
837,1,16.9200001,18.4699993
838,1,18.7099991,19.7999992
839,1,16.9899998,18.6800003
840,1,16.8400002,18.1900005
841,1,17.2999992,18.5000000
842,1,17.0100002,18.6599998
843,1,16.7500000,18.1599998
844,1,16.7999992,18.3199997
845,1,16.8600006,18.3400002
846,1,17.8700008,19.1200008
847,1,17.1200008,18.6200008
848,1,16.8799992,18.7399998
849,1,16.5599995,18.3999996
850,1,17.0100002,19.0699997
851,1,16.8199997,18.6599998
852,1,16.7999992,18.5599995
853,1,16.6700001,18.2099991
854,1,16.6900005,18.3799992
855,1,17.2700005,19.2600002
856,1,16.8899994,18.3600006
857,1,16.8199997,18.4200001
858,1,17.5000000,18.6499996
859,1,16.7800007,18.3199997
860,1,16.5300007,18.5499992
861,1,16.9300003,18.6700001
862,1,16.6499996,18.3199997
863,1,16.7299995,18.3999996
864,1,17.5799999,19.2700005
865,1,16.9699993,18.6700001
866,1,17.3700008,18.9300003
867,1,16.9300003,18.2800007
868,1,16.7299995,18.5300007
